dataset_name;letter;complexity_type;encoding_type;weighted_values;prefix_length;precision;fscore
Production;N;complex;weighted_edit_distance;0% 0% 100%;1.0;0.0;0.0
Production;N;complex;weighted_edit_distance;0% 0% 100%;2.0;0.0;0.0
Production;N;complex;weighted_edit_distance;0% 0% 100%;3.0;0.0;0.0
Production;N;complex;weighted_edit_distance;0% 0% 100%;4.0;0.0;0.0
Production;N;complex;weighted_edit_distance;0% 0% 100%;5.0;0.0;0.0
Production;N;complex;weighted_edit_distance;0% 0% 100%;6.0;0.0;0.0
Production;N;complex;weighted_edit_distance;0% 0% 100%;7.0;0.0;0.0
Production;N;complex;weighted_edit_distance;0% 0% 100%;8.0;0.0;0.0
Production;N;complex;weighted_edit_distance;0% 0% 100%;9.0;0.0;0.0
Production;N;complex;weighted_edit_distance;0% 0% 100%;10.0;0.0;0.0
Production;N;complex;weighted_edit_distance;0% 0% 100%;11.0;0.0;0.0
Production;N;complex;weighted_edit_distance;0% 0% 100%;12.0;0.0;0.0
Production;N;complex;weighted_edit_distance;0% 0% 100%;13.0;0.0;0.0
Production;N;complex;weighted_edit_distance;0% 0% 100%;14.0;0.0;0.0
Production;N;complex;weighted_edit_distance;0% 50% 50%;1.0;0.6818181818181818;0.8108108108108109
Production;N;complex;weighted_edit_distance;0% 50% 50%;2.0;0.6585365853658537;0.7941176470588235
Production;N;complex;weighted_edit_distance;0% 50% 50%;3.0;0.6388888888888888;0.7796610169491525
Production;N;complex;weighted_edit_distance;0% 50% 50%;4.0;0.6666666666666666;0.8
Production;N;complex;weighted_edit_distance;0% 50% 50%;5.0;0.6;0.7499999999999999
Production;N;complex;weighted_edit_distance;0% 50% 50%;6.0;0.6363636363636364;0.7777777777777778
Production;N;complex;weighted_edit_distance;0% 50% 50%;7.0;0.6285714285714286;0.7719298245614035
Production;N;complex;weighted_edit_distance;0% 50% 50%;8.0;0.6060606060606061;0.7547169811320755
Production;N;complex;weighted_edit_distance;0% 50% 50%;9.0;0.625;0.7692307692307693
Production;N;complex;weighted_edit_distance;0% 50% 50%;10.0;0.6333333333333333;0.7755102040816326
Production;N;complex;weighted_edit_distance;25% 50% 25%;1.0;0.6818181818181818;0.8108108108108109
Production;N;complex;weighted_edit_distance;25% 50% 25%;2.0;0.6585365853658537;0.7941176470588235
Production;N;complex;weighted_edit_distance;25% 50% 25%;3.0;0.6388888888888888;0.7796610169491525
Production;N;complex;weighted_edit_distance;25% 50% 25%;4.0;0.6666666666666666;0.8
Production;N;complex;weighted_edit_distance;25% 50% 25%;5.0;0.6;0.7499999999999999
Production;N;complex;weighted_edit_distance;25% 50% 25%;6.0;0.6363636363636364;0.7777777777777778
Production;N;complex;weighted_edit_distance;25% 50% 25%;7.0;0.6285714285714286;0.7719298245614035
Production;N;complex;weighted_edit_distance;25% 50% 25%;8.0;0.6060606060606061;0.7547169811320755
Production;N;complex;weighted_edit_distance;25% 50% 25%;9.0;0.625;0.7692307692307693
