dataset_name;letter;complexity_type;encoding_type;weighted_values;prefix_length;precision;fscore
bpic2011_f1;N;complex;unknown;;1.0;0.5219298245614035;0.685878962536023
bpic2011_f1;N;complex;unknown;;2.0;0.5244444444444445;0.6880466472303207
bpic2011_f1;N;complex;unknown;;3.0;0.5046296296296297;0.6707692307692308
bpic2011_f1;N;complex;unknown;;4.0;0.4928909952606635;0.6603174603174603
bpic2011_f1;N;complex;unknown;;5.0;0.4734042553191489;0.6425992779783394
bpic2011_f1;N;complex;unknown;;6.0;0.4699140401146132;0.6393762183235868
bpic2011_f1;N;complex;unknown;;7.0;0.4726224783861671;0.6418786692759295
bpic2011_f1;N;complex;unknown;;8.0;0.466472303206997;0.6361829025844931
bpic2011_f1;N;complex;unknown;;9.0;0.4565826330532213;0.6269230769230769
bpic2011_f1;N;complex;unknown;;10.0;0.4565826330532213;0.6269230769230769
bpic2011_f1;N;complex;unknown;;11.0;0.4519774011299435;0.622568093385214
bpic2011_f1;N;complex;unknown;;12.0;0.4519774011299435;0.622568093385214
bpic2011_f1;N;complex;unknown;;13.0;0.4488636363636363;0.6196078431372549
bpic2011_f1;N;complex;unknown;;14.0;0.4472934472934473;0.6181102362204725
bpic2011_f1;N;complex;unknown;;15.0;0.4472934472934473;0.6181102362204725
bpic2011_f1;N;complex;unknown;;16.0;0.4472934472934473;0.6181102362204725
bpic2011_f1;N;complex;unknown;;17.0;0.4498567335243553;0.6205533596837944
bpic2011_f1;N;complex;unknown;;18.0;0.4498567335243553;0.6205533596837944
bpic2011_f1;N;complex;unknown;;19.0;0.446685878962536;0.6175298804780877
bpic2011_f1;N;complex;unknown;;20.0;0.4545454545454545;0.625
bpic2011_f1;N;complex;unknown;;21.0;0.4594594594594595;0.6296296296296297
bpic2011_f1;N;complex;unknown;;22.0;0.4692737430167598;0.6387832699619772
bpic2011_f1;N;complex;unknown;;23.0;0.4772727272727273;0.6461538461538462
bpic2011_f1;N;complex;unknown;;24.0;0.4855491329479768;0.6536964980544747
bpic2011_f1;N;complex;unknown;;25.0;0.5419354838709678;0.7029288702928871
bpic2011_f1;N;complex;unknown;;26.0;0.6268656716417911;0.7706422018348624
bpic2011_f1;N;complex;unknown;;27.0;0.7410714285714286;0.8512820512820513
bpic2011_f1;N;complex;unknown;;28.0;0.7735849056603774;0.8723404255319149
bpic2011_f1;N;complex;unknown;;29.0;0.8350515463917526;0.9101123595505618
bpic2011_f1;N;complex;unknown;;30.0;0.8804347826086957;0.9364161849710982
bpic2011_f1;N;complex;unknown;;1.0;0.5219298245614035;0.685878962536023
bpic2011_f1;N;complex;unknown;;2.0;0.5244444444444445;0.6880466472303207
bpic2011_f1;N;complex;unknown;;3.0;0.5046296296296297;0.6707692307692308
bpic2011_f1;N;complex;unknown;;4.0;0.4928909952606635;0.6603174603174603
bpic2011_f1;N;complex;unknown;;5.0;0.4734042553191489;0.6425992779783394
bpic2011_f1;N;complex;unknown;;6.0;0.4699140401146132;0.6393762183235868
bpic2011_f1;N;complex;unknown;;7.0;0.4726224783861671;0.6418786692759295
bpic2011_f1;N;complex;unknown;;8.0;0.466472303206997;0.6361829025844931
bpic2011_f1;N;complex;unknown;;9.0;0.4565826330532213;0.6269230769230769
bpic2011_f1;N;complex;unknown;;10.0;0.4565826330532213;0.6269230769230769
bpic2011_f1;N;complex;unknown;;11.0;0.4519774011299435;0.622568093385214
bpic2011_f1;N;complex;unknown;;12.0;0.4519774011299435;0.622568093385214
bpic2011_f1;N;complex;unknown;;13.0;0.4488636363636363;0.6196078431372549
bpic2011_f1;N;complex;unknown;;14.0;0.4472934472934473;0.6181102362204725
bpic2011_f1;N;complex;unknown;;15.0;0.4472934472934473;0.6181102362204725
bpic2011_f1;N;complex;unknown;;16.0;0.4472934472934473;0.6181102362204725
bpic2011_f1;N;complex;unknown;;17.0;0.4498567335243553;0.6205533596837944
bpic2011_f1;N;complex;unknown;;18.0;0.4498567335243553;0.6205533596837944
bpic2011_f1;N;complex;unknown;;19.0;0.446685878962536;0.6175298804780877
bpic2011_f1;N;complex;unknown;;20.0;0.4545454545454545;0.625
bpic2011_f1;N;complex;unknown;;21.0;0.4594594594594595;0.6296296296296297
bpic2011_f1;N;complex;unknown;;22.0;0.4692737430167598;0.6387832699619772
bpic2011_f1;N;complex;unknown;;23.0;0.4772727272727273;0.6461538461538462
bpic2011_f1;N;complex;unknown;;24.0;0.4855491329479768;0.6536964980544747
bpic2011_f1;N;complex;unknown;;25.0;0.5419354838709678;0.7029288702928871
bpic2011_f1;N;complex;unknown;;26.0;0.6268656716417911;0.7706422018348624
bpic2011_f1;N;complex;unknown;;27.0;0.7410714285714286;0.8512820512820513
bpic2011_f1;N;complex;unknown;;28.0;0.7735849056603774;0.8723404255319149
bpic2011_f1;N;complex;unknown;;29.0;0.8350515463917526;0.9101123595505618
bpic2011_f1;N;complex;unknown;;30.0;0.8804347826086957;0.9364161849710982
bpic2011_f1;N;simple;unknown;;1.0;0.4623115577889447;0.5786163522012578
bpic2011_f1;N;simple;unknown;;2.0;0.4623115577889447;0.580441640378549
bpic2011_f1;N;simple;unknown;;3.0;0.4623115577889447;0.5974025974025974
bpic2011_f1;N;simple;unknown;;4.0;0.4623115577889447;0.6072607260726073
bpic2011_f1;N;simple;unknown;;5.0;0.4564102564102564;0.6075085324232082
bpic2011_f1;N;simple;unknown;;6.0;0.4833333333333333;0.6397058823529411
bpic2011_f1;N;simple;unknown;;7.0;0.4806629834254143;0.6373626373626373
bpic2011_f1;N;simple;unknown;;8.0;0.4806629834254143;0.6420664206642067
bpic2011_f1;N;simple;unknown;;9.0;0.4583333333333333;0.624113475177305
bpic2011_f1;N;simple;unknown;;10.0;0.4559585492227979;0.6219081272084805
bpic2011_f1;N;simple;unknown;;11.0;0.453125;0.6214285714285714
bpic2011_f1;N;simple;unknown;;12.0;0.450261780104712;0.6164874551971327
bpic2011_f1;N;simple;unknown;;13.0;0.450261780104712;0.6187050359712231
bpic2011_f1;N;simple;unknown;;14.0;0.4;0.231404958677686
bpic2011_f1;N;simple;unknown;;15.0;0.0;0.0
bpic2011_f1;N;simple;unknown;;16.0;0.0;0.0
bpic2011_f1;N;simple;unknown;;17.0;0.0;0.0
bpic2011_f1;N;simple;unknown;;18.0;0.0;0.0
bpic2011_f1;N;simple;unknown;;19.0;0.0;0.0
bpic2011_f1;N;simple;unknown;;20.0;0.0;0.0
bpic2011_f1;N;simple;unknown;;21.0;0.0;0.0
bpic2011_f1;N;simple;unknown;;22.0;0.0;0.0
bpic2011_f1;N;simple;unknown;;23.0;0.0;0.0
bpic2011_f1;N;simple;unknown;;24.0;0.0;0.0
bpic2011_f1;N;simple;unknown;;25.0;0.0;0.0
bpic2011_f1;N;simple;unknown;;26.0;0.0;0.0
bpic2011_f1;N;simple;unknown;;27.0;0.0;0.0
bpic2011_f1;N;simple;unknown;;28.0;0.0;0.0
bpic2011_f1;N;simple;unknown;;29.0;0.0;0.0
bpic2011_f1;N;simple;unknown;;30.0;0.0;0.0
