dataset_name;letter;complexity_type;encoding_type;weighted_values;prefix_length;precision;fscore
bpic2012_cancelled;N;complex;unknown;;1.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;2.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;3.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;4.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;5.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;6.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;7.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;8.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;9.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;10.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;11.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;12.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;13.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;14.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;15.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;16.0;0.6991150442477876;0.8229166666666666
bpic2012_cancelled;N;complex;unknown;;17.0;0.722707423580786;0.8390367553865653
bpic2012_cancelled;N;complex;unknown;;18.0;0.7189473684210527;0.8364972443355787
bpic2012_cancelled;N;complex;unknown;;19.0;0.7345814977973568;0.846984126984127
bpic2012_cancelled;N;complex;unknown;;20.0;0.7385474860335196;0.8496143958868895
bpic2012_cancelled;N;complex;unknown;;21.0;0.7534403669724771;0.8593852190974492
bpic2012_cancelled;N;complex;unknown;;22.0;0.7604166666666666;0.8639053254437871
bpic2012_cancelled;N;complex;unknown;;23.0;0.7674698795180723;0.8684389911383776
bpic2012_cancelled;N;complex;unknown;;24.0;0.7800982800982801;0.8764665286404417
bpic2012_cancelled;N;complex;unknown;;25.0;0.7779220779220779;0.87509130752374
bpic2012_cancelled;N;complex;unknown;;26.0;0.7832446808510638;0.8784489187173751
bpic2012_cancelled;N;complex;unknown;;27.0;0.7875354107648725;0.8811410459587956
bpic2012_cancelled;N;complex;unknown;;28.0;0.7973760932944607;0.8872668288726683
bpic2012_cancelled;N;complex;unknown;;29.0;0.7959501557632399;0.8863833477883781
bpic2012_cancelled;N;complex;unknown;;30.0;0.8058252427184466;0.8924731182795699
bpic2012_cancelled;N;complex;unknown;;31.0;0.802405498281787;0.890371782650143
bpic2012_cancelled;N;complex;unknown;;32.0;0.8117001828153565;0.8960645812310797
bpic2012_cancelled;N;complex;unknown;;33.0;0.8153241650294696;0.8982683982683983
bpic2012_cancelled;N;complex;unknown;;34.0;0.8157349896480331;0.8985176738882553
bpic2012_cancelled;N;complex;unknown;;35.0;0.8141592920353983;0.8975609756097562
bpic2012_cancelled;N;complex;unknown;;1.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;2.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;3.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;4.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;5.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;6.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;7.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;8.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;9.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;10.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;11.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;12.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;13.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;14.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;15.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;complex;unknown;;16.0;0.6991150442477876;0.8229166666666666
bpic2012_cancelled;N;complex;unknown;;17.0;0.722707423580786;0.8390367553865653
bpic2012_cancelled;N;complex;unknown;;18.0;0.7189473684210527;0.8364972443355787
bpic2012_cancelled;N;complex;unknown;;19.0;0.7345814977973568;0.846984126984127
bpic2012_cancelled;N;complex;unknown;;20.0;0.7385474860335196;0.8496143958868895
bpic2012_cancelled;N;complex;unknown;;21.0;0.7534403669724771;0.8593852190974492
bpic2012_cancelled;N;complex;unknown;;22.0;0.7604166666666666;0.8639053254437871
bpic2012_cancelled;N;complex;unknown;;23.0;0.7674698795180723;0.8684389911383776
bpic2012_cancelled;N;complex;unknown;;24.0;0.7800982800982801;0.8764665286404417
bpic2012_cancelled;N;complex;unknown;;25.0;0.7779220779220779;0.87509130752374
bpic2012_cancelled;N;complex;unknown;;26.0;0.7832446808510638;0.8784489187173751
bpic2012_cancelled;N;complex;unknown;;27.0;0.7875354107648725;0.8811410459587956
bpic2012_cancelled;N;complex;unknown;;28.0;0.7973760932944607;0.8872668288726683
bpic2012_cancelled;N;complex;unknown;;29.0;0.7959501557632399;0.8863833477883781
bpic2012_cancelled;N;complex;unknown;;30.0;0.8058252427184466;0.8924731182795699
bpic2012_cancelled;N;complex;unknown;;31.0;0.802405498281787;0.890371782650143
bpic2012_cancelled;N;complex;unknown;;32.0;0.8117001828153565;0.8960645812310797
bpic2012_cancelled;N;complex;unknown;;33.0;0.8153241650294696;0.8982683982683983
bpic2012_cancelled;N;complex;unknown;;34.0;0.8157349896480331;0.8985176738882553
bpic2012_cancelled;N;complex;unknown;;35.0;0.8141592920353983;0.8975609756097562
bpic2012_cancelled;N;simple;unknown;;1.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;simple;unknown;;2.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;simple;unknown;;3.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;simple;unknown;;4.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;simple;unknown;;5.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;simple;unknown;;6.0;0.7075773745997865;0.82875
bpic2012_cancelled;N;simple;unknown;;7.0;0.7328159645232816;0.8447284345047923
bpic2012_cancelled;N;simple;unknown;;8.0;0.7328159645232816;0.8447284345047923
bpic2012_cancelled;N;simple;unknown;;9.0;0.746606334841629;0.8532643826761473
bpic2012_cancelled;N;simple;unknown;;10.0;0.746606334841629;0.8532643826761473
bpic2012_cancelled;N;simple;unknown;;11.0;0.7725060827250608;0.8552188552188552
bpic2012_cancelled;N;simple;unknown;;12.0;0.7802056555269923;0.842470506592644
bpic2012_cancelled;N;simple;unknown;;13.0;0.7802056555269923;0.842470506592644
bpic2012_cancelled;N;simple;unknown;;14.0;0.7802056555269923;0.842470506592644
bpic2012_cancelled;N;simple;unknown;;15.0;0.8141176470588235;0.6360294117647058
bpic2012_cancelled;N;simple;unknown;;16.0;0.7799227799227799;0.8416666666666666
bpic2012_cancelled;N;simple;unknown;;17.0;0.7784974093264249;0.8382147838214784
bpic2012_cancelled;N;simple;unknown;;18.0;0.7791005291005291;0.8307475317348378
bpic2012_cancelled;N;simple;unknown;;19.0;0.7791005291005291;0.8313338038108681
bpic2012_cancelled;N;simple;unknown;;20.0;0.7832446808510638;0.8336871903750885
bpic2012_cancelled;N;simple;unknown;;21.0;0.7832446808510638;0.8360539389638042
bpic2012_cancelled;N;simple;unknown;;22.0;0.7779220779220779;0.8395234758234058
bpic2012_cancelled;N;simple;unknown;;23.0;0.7779220779220779;0.851457000710732
bpic2012_cancelled;N;simple;unknown;;24.0;0.7832446808510638;0.8493150684931506
bpic2012_cancelled;N;simple;unknown;;25.0;0.7832446808510638;0.8719467061435973
bpic2012_cancelled;N;simple;unknown;;26.0;0.9;0.0872374798061389
bpic2012_cancelled;N;simple;unknown;;27.0;0.7921440261865794;0.8266438941076003
bpic2012_cancelled;N;simple;unknown;;28.0;0.8;0.8471391972672929
bpic2012_cancelled;N;simple;unknown;;29.0;0.8178438661710037;0.5612244897959183
bpic2012_cancelled;N;simple;unknown;;30.0;0.7936170212765957;0.7651282051282051
bpic2012_cancelled;N;simple;unknown;;31.0;0.8117001828153565;0.8757396449704142
bpic2012_cancelled;N;simple;unknown;;32.0;0.9041095890410958;0.2553191489361702
bpic2012_cancelled;N;simple;unknown;;33.0;0.0;0.0
bpic2012_cancelled;N;simple;unknown;;34.0;0.0;0.0
bpic2012_cancelled;N;simple;unknown;;35.0;0.0;0.0
