dataset_name;letter;complexity_type;encoding_type;weighted_values;prefix_length;precision;fscore
bpic2012_declined;N;complex;unknown;;1.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;2.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;3.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;4.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;5.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;6.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;7.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;8.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;9.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;10.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;11.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;12.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;13.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;14.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;15.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;16.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;17.0;0.8034934497816594;0.8910411622276029
bpic2012_declined;N;complex;unknown;;18.0;0.8032786885245902;0.8909090909090909
bpic2012_declined;N;complex;unknown;;19.0;0.8004459308807135;0.8891640866873065
bpic2012_declined;N;complex;unknown;;20.0;0.8;0.888888888888889
bpic2012_declined;N;complex;unknown;;21.0;0.7993119266055045;0.8884639898024218
bpic2012_declined;N;complex;unknown;;22.0;0.7974537037037037;0.8873148744365744
bpic2012_declined;N;complex;unknown;;23.0;0.8012048192771084;0.8896321070234113
bpic2012_declined;N;complex;unknown;;24.0;0.7997542997542998;0.8887372013651877
bpic2012_declined;N;complex;unknown;;25.0;0.8;0.888888888888889
bpic2012_declined;N;complex;unknown;;26.0;0.8018617021276596;0.8900369003690036
bpic2012_declined;N;complex;unknown;;27.0;0.7974504249291785;0.8873128447596533
bpic2012_declined;N;complex;unknown;;28.0;0.7988338192419825;0.8881685575364668
bpic2012_declined;N;complex;unknown;;29.0;0.8037383177570093;0.8911917098445596
bpic2012_declined;N;complex;unknown;;30.0;0.8106796116504854;0.8954423592493298
bpic2012_declined;N;complex;unknown;;31.0;0.8109965635738832;0.8956356736242884
bpic2012_declined;N;complex;unknown;;32.0;0.8190127970749543;0.9005025125628141
bpic2012_declined;N;complex;unknown;;33.0;0.8271119842829077;0.9053763440860216
bpic2012_declined;N;complex;unknown;;34.0;0.8364389233954451;0.9109357384441938
bpic2012_declined;N;complex;unknown;;35.0;0.8451327433628318;0.9160671462829736
bpic2012_declined;N;complex;unknown;;1.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;2.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;3.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;4.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;5.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;6.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;7.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;8.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;9.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;10.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;11.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;12.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;13.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;14.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;15.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;16.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;complex;unknown;;17.0;0.8034934497816594;0.8910411622276029
bpic2012_declined;N;complex;unknown;;18.0;0.8032786885245902;0.8909090909090909
bpic2012_declined;N;complex;unknown;;19.0;0.8004459308807135;0.8891640866873065
bpic2012_declined;N;complex;unknown;;20.0;0.8;0.888888888888889
bpic2012_declined;N;complex;unknown;;21.0;0.7993119266055045;0.8884639898024218
bpic2012_declined;N;complex;unknown;;22.0;0.7974537037037037;0.8873148744365744
bpic2012_declined;N;complex;unknown;;23.0;0.8012048192771084;0.8896321070234113
bpic2012_declined;N;complex;unknown;;24.0;0.7997542997542998;0.8887372013651877
bpic2012_declined;N;complex;unknown;;25.0;0.8;0.888888888888889
bpic2012_declined;N;complex;unknown;;26.0;0.8018617021276596;0.8900369003690036
bpic2012_declined;N;complex;unknown;;27.0;0.7974504249291785;0.8873128447596533
bpic2012_declined;N;complex;unknown;;28.0;0.7988338192419825;0.8881685575364668
bpic2012_declined;N;complex;unknown;;29.0;0.8037383177570093;0.8911917098445596
bpic2012_declined;N;complex;unknown;;30.0;0.8106796116504854;0.8954423592493298
bpic2012_declined;N;complex;unknown;;31.0;0.8109965635738832;0.8956356736242884
bpic2012_declined;N;complex;unknown;;32.0;0.8190127970749543;0.9005025125628141
bpic2012_declined;N;complex;unknown;;33.0;0.8271119842829077;0.9053763440860216
bpic2012_declined;N;complex;unknown;;34.0;0.8364389233954451;0.9109357384441938
bpic2012_declined;N;complex;unknown;;35.0;0.8451327433628318;0.9160671462829736
bpic2012_declined;N;simple;unknown;;1.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;simple;unknown;;2.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;simple;unknown;;3.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;simple;unknown;;4.0;0.8068303094983992;0.8930891907855878
bpic2012_declined;N;simple;unknown;;5.0;0.8068303094983992;0.8930891907855878
