dataset_name;letter;complexity_type;encoding_type;weighted_values;prefix_length;precision;fscore
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;1.0;0.8505747126436781;0.9192546583850932
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;2.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;3.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;4.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;5.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;6.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;7.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;8.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;9.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;10.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;11.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;12.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;13.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;14.0;0.85;0.9189189189189187
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;15.0;0.85;0.9189189189189187
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;16.0;0.8481012658227848;0.917808219178082
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;17.0;0.8481012658227848;0.917808219178082
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;18.0;0.8441558441558441;0.9154929577464788
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;19.0;0.8441558441558441;0.9154929577464788
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;20.0;0.8378378378378378;0.911764705882353
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;21.0;0.8285714285714286;0.90625
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;22.0;0.8235294117647058;0.9032258064516128
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;23.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;24.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;25.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;26.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;27.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;28.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;29.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;30.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;31.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;32.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;33.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;34.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;35.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;36.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;37.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;38.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;39.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;40.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;1.0;0.8505747126436781;0.9192546583850932
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;2.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;3.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;4.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;5.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;6.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;7.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;8.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;9.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;10.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;11.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;12.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;13.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;14.0;0.85;0.9189189189189187
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;15.0;0.85;0.9189189189189187
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;16.0;0.8481012658227848;0.917808219178082
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;17.0;0.8481012658227848;0.917808219178082
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;18.0;0.8441558441558441;0.9154929577464788
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;19.0;0.8441558441558441;0.9154929577464788
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;20.0;0.8378378378378378;0.911764705882353
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;21.0;0.8285714285714286;0.90625
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;22.0;0.8235294117647058;0.9032258064516128
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;23.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;24.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;25.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;26.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;27.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;28.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;29.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;30.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;31.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;32.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;33.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;34.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;35.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;36.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;37.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;38.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;39.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;40.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;1.0;0.8505747126436781;0.9192546583850932
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;2.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;3.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;4.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;5.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;6.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;7.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;8.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;9.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;10.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;11.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;12.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;13.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;14.0;0.85;0.9189189189189187
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;15.0;0.85;0.9189189189189187
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;16.0;0.8481012658227848;0.917808219178082
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;17.0;0.8481012658227848;0.917808219178082
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;18.0;0.8441558441558441;0.9154929577464788
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;19.0;0.8441558441558441;0.9154929577464788
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;20.0;0.8378378378378378;0.911764705882353
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;21.0;0.8285714285714286;0.90625
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;22.0;0.8235294117647058;0.9032258064516128
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;23.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;24.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;25.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;26.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;27.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;0% 50% 50%;28.0;0.0;0.0
