prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
2,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
3,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
4,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
5,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
6,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
7,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
8,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
9,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
10,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
11,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
12,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
13,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
14,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
15,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
16,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
17,916,434,482,0,0,0.4737991266375546,1.0,0.642962962962963
18,915,433,482,0,0,0.473224043715847,1.0,0.6424332344213649
19,897,415,482,0,0,0.46265328874024525,1.0,0.6326219512195121
20,895,413,482,0,0,0.46145251396648046,1.0,0.6314984709480123
21,872,390,482,0,0,0.44724770642201833,1.0,0.618066561014263
22,864,382,482,0,0,0.44212962962962965,1.0,0.6131621187800963
23,830,358,472,0,0,0.43132530120481927,1.0,0.6026936026936027
24,814,342,472,0,0,0.4201474201474201,1.0,0.5916955017301039
25,770,325,445,0,0,0.42207792207792205,1.0,0.593607305936073
26,752,312,440,0,0,0.4148936170212766,1.0,0.5864661654135339
27,706,293,413,0,0,0.415014164305949,1.0,0.5865865865865866
28,686,277,409,0,0,0.4037900874635568,1.0,0.5752855659397715
29,642,257,385,0,0,0.40031152647975077,1.0,0.5717463848720801
30,618,237,381,0,0,0.38349514563106796,1.0,0.5543859649122806
31,582,225,357,0,0,0.3865979381443299,1.0,0.5576208178438662
32,547,202,345,0,0,0.3692870201096892,1.0,0.5393858477970628
33,509,182,327,0,0,0.3575638506876228,1.0,0.5267727930535456
34,483,168,315,0,0,0.34782608695652173,1.0,0.5161290322580645
35,452,154,298,0,0,0.3407079646017699,1.0,0.5082508250825082
