prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,157,48,266,0,0,0.15286624203821655,1.0,0.26519337016574585
2,157,48,266,0,0,0.15286624203821655,1.0,0.26519337016574585
3,157,48,266,0,0,0.15286624203821655,1.0,0.26519337016574585
4,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
5,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
6,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
7,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
8,154,27,155,0,0,0.14835164835164835,1.0,0.2583732057416268
9,152,28,153,0,0,0.15469613259668508,1.0,0.26794258373205737
10,142,28,142,0,0,0.16470588235294117,1.0,0.2828282828282828
11,129,23,110,0,0,0.17293233082706766,1.0,0.2948717948717949
12,109,23,86,0,0,0.21100917431192662,1.0,0.3484848484848485
13,93,23,70,0,0,0.24731182795698925,1.0,0.39655172413793105
14,82,21,61,0,0,0.25609756097560976,1.0,0.4077669902912621
