prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,157,270,44,0,0,0.8598726114649682,1.0,0.9246575342465754
2,157,270,44,0,0,0.8598726114649682,1.0,0.9246575342465754
3,157,270,44,0,0,0.8598726114649682,1.0,0.9246575342465754
4,157,270,44,0,0,0.8598726114649682,1.0,0.9246575342465754
5,156,270,42,0,0,0.8653846153846154,1.0,0.9278350515463918
6,155,270,40,0,0,0.8709677419354839,1.0,0.9310344827586207
7,154,270,38,0,0,0.8766233766233766,1.0,0.9342560553633218
8,154,270,38,0,0,0.8766233766233766,1.0,0.9342560553633218
9,143,134,9,0,0,0.9370629370629371,1.0,0.9675090252707581
10,135,130,5,0,0,0.9629629629629629,1.0,0.9811320754716981
11,124,122,3,0,0,0.976,1.0,0.9878542510121457
12,113,113,3,0,0,0.9741379310344828,1.0,0.9868995633187774
