prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,228,77,151,0,0,0.33771929824561403,1.0,0.5049180327868852
2,227,11,5,290,132,0.6875,0.07692307692307693,0.13836477987421386
3,218,11,5,272,132,0.6875,0.07692307692307693,0.13836477987421386
4,213,11,5,262,132,0.6875,0.07692307692307693,0.13836477987421386
5,207,0,0,255,143,0,0.0,0
6,200,77,123,0,0,0.385,1.0,0.555956678700361
7,200,77,123,0,0,0.385,1.0,0.555956678700361
8,198,77,121,0,0,0.3888888888888889,1.0,0.56
9,198,77,121,0,0,0.3888888888888889,1.0,0.56
10,198,77,121,0,0,0.3888888888888889,1.0,0.56
11,195,77,118,0,0,0.39487179487179486,1.0,0.5661764705882353
12,195,77,118,0,0,0.39487179487179486,1.0,0.5661764705882353
13,194,77,117,0,0,0.39690721649484534,1.0,0.5682656826568265
14,192,76,116,0,0,0.3958333333333333,1.0,0.5671641791044776
15,192,76,116,0,0,0.3958333333333333,1.0,0.5671641791044776
16,192,76,116,0,0,0.3958333333333333,1.0,0.5671641791044776
17,192,76,116,0,0,0.3958333333333333,1.0,0.5671641791044776
18,192,76,116,0,0,0.3958333333333333,1.0,0.5671641791044776
19,191,76,115,0,0,0.39790575916230364,1.0,0.5692883895131086
20,191,76,115,0,0,0.39790575916230364,1.0,0.5692883895131086
21,191,76,115,0,0,0.39790575916230364,1.0,0.5692883895131086
22,190,76,114,0,0,0.4,1.0,0.5714285714285715
23,190,76,114,0,0,0.4,1.0,0.5714285714285715
24,189,0,0,0,0,0,0,0
25,189,0,0,0,0,0,0,0
26,189,0,0,0,0,0,0,0
27,185,0,0,0,0,0,0,0
28,184,0,0,0,0,0,0,0
29,182,0,0,0,0,0,0,0
30,182,0,0,0,0,0,0,0
31,178,0,0,0,0,0,0,0
32,175,0,0,0,0,0,0,0
33,172,0,0,0,0,0,0,0
34,170,0,0,0,0,0,0,0
35,168,0,0,0,0,0,0,0
36,165,0,0,0,0,0,0,0
37,160,0,0,0,0,0,0,0
38,159,0,0,0,0,0,0,0
39,157,0,0,0,0,0,0,0
40,157,0,0,0,0,0,0,0
