prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,87,74,13,0,0,0.8505747126436781,1.0,0.9192546583850931
2,86,74,12,0,0,0.8604651162790697,1.0,0.9249999999999999
3,86,74,12,0,0,0.8604651162790697,1.0,0.9249999999999999
4,86,74,12,0,0,0.8604651162790697,1.0,0.9249999999999999
5,86,74,12,0,0,0.8604651162790697,1.0,0.9249999999999999
6,86,74,12,0,0,0.8604651162790697,1.0,0.9249999999999999
7,86,74,12,0,0,0.8604651162790697,1.0,0.9249999999999999
8,86,74,12,0,0,0.8604651162790697,1.0,0.9249999999999999
9,86,74,12,0,0,0.8604651162790697,1.0,0.9249999999999999
10,85,73,12,0,0,0.8588235294117647,1.0,0.9240506329113923
11,85,73,12,0,0,0.8588235294117647,1.0,0.9240506329113923
12,85,73,12,0,0,0.8588235294117647,1.0,0.9240506329113923
13,85,73,12,0,0,0.8588235294117647,1.0,0.9240506329113923
14,80,68,12,0,0,0.85,1.0,0.9189189189189189
15,80,68,12,0,0,0.85,1.0,0.9189189189189189
16,79,67,12,0,0,0.8481012658227848,1.0,0.9178082191780821
17,79,67,12,0,0,0.8481012658227848,1.0,0.9178082191780821
18,77,65,12,0,0,0.8441558441558441,1.0,0.9154929577464789
19,77,65,12,0,0,0.8441558441558441,1.0,0.9154929577464789
20,74,62,12,0,0,0.8378378378378378,1.0,0.911764705882353
21,70,58,12,0,0,0.8285714285714286,1.0,0.90625
22,68,56,12,0,0,0.8235294117647058,1.0,0.9032258064516129
23,67,55,12,0,0,0.8208955223880597,1.0,0.9016393442622952
24,65,53,12,0,0,0.8153846153846154,1.0,0.8983050847457628
25,64,52,12,0,0,0.8125,1.0,0.896551724137931
26,62,50,12,0,0,0.8064516129032258,1.0,0.8928571428571428
27,62,50,12,0,0,0.8064516129032258,1.0,0.8928571428571428
28,61,50,11,0,0,0.819672131147541,1.0,0.9009009009009009
29,58,48,10,0,0,0.8275862068965517,1.0,0.9056603773584906
30,57,47,10,0,0,0.8245614035087719,1.0,0.9038461538461539
31,56,46,10,0,0,0.8214285714285714,1.0,0.9019607843137255
32,56,46,10,0,0,0.8214285714285714,1.0,0.9019607843137255
33,56,46,10,0,0,0.8214285714285714,1.0,0.9019607843137255
34,55,46,9,0,0,0.8363636363636363,1.0,0.9108910891089108
35,55,46,9,0,0,0.8363636363636363,1.0,0.9108910891089108
36,55,0,0,0,0,0,0,0
37,55,0,0,0,0,0,0,0
38,54,0,0,0,0,0,0,0
39,53,0,0,0,0,0,0,0
40,53,0,0,0,0,0,0,0
