prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,87,74,13,0,0,0.8505747126436781,1.0,0.9192546583850931
2,86,74,12,0,0,0.8604651162790697,1.0,0.9249999999999999
3,86,74,12,0,0,0.8604651162790697,1.0,0.9249999999999999
4,86,74,12,0,0,0.8604651162790697,1.0,0.9249999999999999
5,86,74,12,0,0,0.8604651162790697,1.0,0.9249999999999999
6,86,74,12,0,0,0.8604651162790697,1.0,0.9249999999999999
7,86,0,0,12,74,0,0.0,0
8,86,74,12,0,0,0.8604651162790697,1.0,0.9249999999999999
9,86,74,12,0,0,0.8604651162790697,1.0,0.9249999999999999
10,85,0,0,12,73,0,0.0,0
11,85,0,0,12,73,0,0.0,0
12,85,73,12,0,0,0.8588235294117647,1.0,0.9240506329113923
13,85,73,12,0,0,0.8588235294117647,1.0,0.9240506329113923
14,80,68,12,0,0,0.85,1.0,0.9189189189189189
15,80,68,12,0,0,0.85,1.0,0.9189189189189189
16,79,67,12,0,0,0.8481012658227848,1.0,0.9178082191780821
17,79,67,12,0,0,0.8481012658227848,1.0,0.9178082191780821
18,77,65,12,0,0,0.8441558441558441,1.0,0.9154929577464789
19,77,65,12,0,0,0.8441558441558441,1.0,0.9154929577464789
20,74,62,12,0,0,0.8378378378378378,1.0,0.911764705882353
21,70,58,12,0,0,0.8285714285714286,1.0,0.90625
22,68,56,12,0,0,0.8235294117647058,1.0,0.9032258064516129
23,67,0,0,0,0,0,0,0
24,65,0,0,0,0,0,0,0
25,64,0,0,0,0,0,0,0
26,62,0,0,0,0,0,0,0
27,62,0,0,0,0,0,0,0
28,61,0,0,0,0,0,0,0
29,58,0,0,0,0,0,0,0
30,57,0,0,0,0,0,0,0
31,56,0,0,0,0,0,0,0
32,56,0,0,0,0,0,0,0
33,56,0,0,0,0,0,0,0
34,55,0,0,0,0,0,0,0
35,55,0,0,0,0,0,0,0
36,55,0,0,0,0,0,0,0
37,55,0,0,0,0,0,0,0
38,54,0,0,0,0,0,0,0
39,53,0,0,0,0,0,0,0
40,53,0,0,0,0,0,0,0
