prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,157,17,42,91,7,0.288135593220339,0.7083333333333334,0.4096385542168675
2,157,21,65,68,3,0.2441860465116279,0.875,0.3818181818181818
3,157,21,58,75,3,0.26582278481012656,0.875,0.40776699029126207
4,157,21,58,75,3,0.26582278481012656,0.875,0.40776699029126207
5,157,10,26,107,14,0.2777777777777778,0.4166666666666667,0.33333333333333337
6,157,10,26,107,14,0.2777777777777778,0.4166666666666667,0.33333333333333337
7,157,18,46,87,6,0.28125,0.75,0.4090909090909091
8,154,17,46,84,7,0.2698412698412698,0.7083333333333334,0.3908045977011494
9,152,21,62,66,3,0.25301204819277107,0.875,0.39252336448598124
10,142,17,46,72,7,0.2698412698412698,0.7083333333333334,0.3908045977011494
11,129,17,46,60,6,0.2698412698412698,0.7391304347826086,0.39534883720930236
12,109,17,44,42,6,0.2786885245901639,0.7391304347826086,0.40476190476190477
13,93,17,58,12,6,0.22666666666666666,0.7391304347826086,0.346938775510204
14,82,0,0,0,0,0,0,0
