prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,140,104,36,0,0,0.7428571428571429,1.0,0.8524590163934427
2,140,104,36,0,0,0.7428571428571429,1.0,0.8524590163934427
3,140,104,36,0,0,0.7428571428571429,1.0,0.8524590163934427
4,138,104,34,0,0,0.7536231884057971,1.0,0.859504132231405
5,138,104,34,0,0,0.7536231884057971,1.0,0.859504132231405
6,138,104,34,0,0,0.7536231884057971,1.0,0.859504132231405
7,138,104,34,0,0,0.7536231884057971,1.0,0.859504132231405
8,138,104,34,0,0,0.7536231884057971,1.0,0.859504132231405
9,138,104,34,0,0,0.7536231884057971,1.0,0.859504132231405
10,137,103,34,0,0,0.7518248175182481,1.0,0.8583333333333333
11,136,102,34,0,0,0.75,1.0,0.8571428571428571
12,134,100,34,0,0,0.746268656716418,1.0,0.8547008547008548
13,133,99,34,0,0,0.7443609022556391,1.0,0.8534482758620691
14,128,94,34,0,0,0.734375,1.0,0.8468468468468469
15,126,92,34,0,0,0.7301587301587301,1.0,0.8440366972477064
16,125,91,34,0,0,0.728,1.0,0.8425925925925926
17,125,91,34,0,0,0.728,1.0,0.8425925925925926
18,123,89,34,0,0,0.7235772357723578,1.0,0.839622641509434
19,122,88,34,0,0,0.7213114754098361,1.0,0.8380952380952381
20,120,87,33,0,0,0.725,1.0,0.8405797101449275
21,120,87,33,0,0,0.725,1.0,0.8405797101449275
22,120,87,33,0,0,0.725,1.0,0.8405797101449275
23,120,87,33,0,0,0.725,1.0,0.8405797101449275
24,120,87,33,0,0,0.725,1.0,0.8405797101449275
25,120,87,33,0,0,0.725,1.0,0.8405797101449275
26,118,86,32,0,0,0.7288135593220338,1.0,0.8431372549019608
27,116,84,32,0,0,0.7241379310344828,1.0,0.8400000000000001
28,115,83,32,0,0,0.7217391304347827,1.0,0.8383838383838385
29,115,83,32,0,0,0.7217391304347827,1.0,0.8383838383838385
30,115,83,32,0,0,0.7217391304347827,1.0,0.8383838383838385
31,114,82,32,0,0,0.7192982456140351,1.0,0.8367346938775511
32,112,80,32,0,0,0.7142857142857143,1.0,0.8333333333333333
33,108,0,0,0,0,0,0,0
34,105,0,0,0,0,0,0,0
35,103,0,0,0,0,0,0,0
36,102,0,0,0,0,0,0,0
37,101,0,0,0,0,0,0,0
