prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,157,24,133,0,0,0.1528662420382166,1,0.2651933701657458
2,157,24,133,0,0,0.1528662420382166,1,0.2651933701657458
3,157,24,133,0,0,0.1528662420382166,1,0.2651933701657458
4,157,24,133,0,0,0.1528662420382166,1,0.2651933701657458
5,157,24,133,0,0,0.1528662420382166,1,0.2651933701657458
6,157,24,133,0,0,0.1528662420382166,1,0.2651933701657458
7,157,24,133,0,0,0.1528662420382166,1,0.2651933701657458
8,154,24,130,0,0,0.1558441558441558,1,0.2696629213483146
9,152,24,128,0,0,0.1578947368421053,1,0.2727272727272727
10,142,24,118,0,0,0.1690140845070423,1,0.2891566265060241
11,129,23,106,0,0,0.1782945736434109,1,0.3026315789473684
12,109,23,86,0,0,0.2110091743119266,1,0.3484848484848485
13,93,23,70,0,0,0.2473118279569892,1,0.396551724137931
14,82,21,61,0,0,0.2560975609756098,1,0.4077669902912621
