prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,151,125,26,0,0,0.8278145695364238,1.0,0.9057971014492754
2,150,125,25,0,0,0.8333333333333334,1.0,0.9090909090909091
3,150,125,25,0,0,0.8333333333333334,1.0,0.9090909090909091
4,150,125,25,0,0,0.8333333333333334,1.0,0.9090909090909091
5,150,125,25,0,0,0.8333333333333334,1.0,0.9090909090909091
6,150,125,25,0,0,0.8333333333333334,1.0,0.9090909090909091
7,150,125,25,0,0,0.8333333333333334,1.0,0.9090909090909091
8,149,124,25,0,0,0.8322147651006712,1.0,0.9084249084249084
9,149,124,25,0,0,0.8322147651006712,1.0,0.9084249084249084
10,149,124,25,0,0,0.8322147651006712,1.0,0.9084249084249084
11,149,124,25,0,0,0.8322147651006712,1.0,0.9084249084249084
12,147,122,25,0,0,0.8299319727891157,1.0,0.9070631970260223
13,146,121,25,0,0,0.8287671232876712,1.0,0.9063670411985019
14,146,121,25,0,0,0.8287671232876712,1.0,0.9063670411985019
15,146,121,25,0,0,0.8287671232876712,1.0,0.9063670411985019
16,146,121,25,0,0,0.8287671232876712,1.0,0.9063670411985019
17,146,121,25,0,0,0.8287671232876712,1.0,0.9063670411985019
18,146,121,25,0,0,0.8287671232876712,1.0,0.9063670411985019
19,145,120,25,0,0,0.8275862068965517,1.0,0.9056603773584906
20,144,120,24,0,0,0.8333333333333334,1.0,0.9090909090909091
21,143,120,23,0,0,0.8391608391608392,1.0,0.9125475285171103
22,142,119,23,0,0,0.8380281690140845,1.0,0.9118773946360154
23,142,119,23,0,0,0.8380281690140845,1.0,0.9118773946360154
24,142,119,23,0,0,0.8380281690140845,1.0,0.9118773946360154
25,142,119,23,0,0,0.8380281690140845,1.0,0.9118773946360154
26,142,119,23,0,0,0.8380281690140845,1.0,0.9118773946360154
27,142,119,23,0,0,0.8380281690140845,1.0,0.9118773946360154
28,142,119,23,0,0,0.8380281690140845,1.0,0.9118773946360154
29,142,119,23,0,0,0.8380281690140845,1.0,0.9118773946360154
30,142,119,23,0,0,0.8380281690140845,1.0,0.9118773946360154
31,142,119,23,0,0,0.8380281690140845,1.0,0.9118773946360154
32,141,118,23,0,0,0.8368794326241135,1.0,0.9111969111969112
33,141,118,23,0,0,0.8368794326241135,1.0,0.9111969111969112
34,141,118,23,0,0,0.8368794326241135,1.0,0.9111969111969112
35,141,118,23,0,0,0.8368794326241135,1.0,0.9111969111969112
36,141,118,23,0,0,0.8368794326241135,1.0,0.9111969111969112
37,141,118,23,0,0,0.8368794326241135,1.0,0.9111969111969112
38,141,118,23,0,0,0.8368794326241135,1.0,0.9111969111969112
39,140,118,22,0,0,0.8428571428571429,1.0,0.9147286821705426
40,140,118,22,0,0,0.8428571428571429,1.0,0.9147286821705426
