prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,44,15,10,4,15,0.6,0.5,0.5454545454545454
2,41,13,7,7,14,0.65,0.48148148148148145,0.553191489361702
3,36,12,7,6,11,0.631578947368421,0.5217391304347826,0.5714285714285715
4,30,12,7,3,8,0.631578947368421,0.6,0.6153846153846154
5,25,11,7,3,4,0.6111111111111112,0.7333333333333333,0.6666666666666666
6,22,9,5,3,5,0.6428571428571429,0.6428571428571429,0.6428571428571429
7,19,0,0,0,0,0,0,0
8,18,0,0,0,0,0,0,0
9,13,0,0,0,0,0,0,0
10,9,0,0,0,0,0,0,0
