prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,225,105,79,1,40,0.5706521739130435,0.7241379310344828,0.6382978723404256
2,218,104,79,0,35,0.5683060109289617,0.7482014388489209,0.6459627329192547
3,203,104,79,0,20,0.5683060109289617,0.8387096774193549,0.6775244299674268
4,198,101,79,0,18,0.5611111111111111,0.8487394957983193,0.6755852842809364
5,191,101,79,0,11,0.5611111111111111,0.9017857142857143,0.6917808219178083
6,184,101,79,0,4,0.5611111111111111,0.9619047619047619,0.7087719298245614
7,183,99,79,0,5,0.5561797752808989,0.9519230769230769,0.7021276595744681
8,180,99,79,0,2,0.5561797752808989,0.9801980198019802,0.7096774193548389
9,180,99,79,0,2,0.5561797752808989,0.9801980198019802,0.7096774193548389
10,180,99,79,0,2,0.5561797752808989,0.9801980198019802,0.7096774193548389
11,178,90,26,53,9,0.7758620689655172,0.9090909090909091,0.8372093023255814
12,178,90,26,53,9,0.7758620689655172,0.9090909090909091,0.8372093023255814
13,178,60,2,77,39,0.967741935483871,0.6060606060606061,0.7453416149068324
14,176,0,0,0,0,0.0,0.0,0.0
15,176,0,0,0,0,0.0,0.0,0.0
16,175,0,0,0,0,0.0,0.0,0.0
17,175,0,0,0,0,0.0,0.0,0.0
18,175,0,0,0,0,0.0,0.0,0.0
19,172,0,0,0,0,0.0,0.0,0.0
20,170,0,0,0,0,0.0,0.0,0.0
21,165,0,0,0,0,0.0,0.0,0.0
22,139,0,0,0,0,0.0,0.0,0.0
23,118,0,0,0,0,0.0,0.0,0.0
24,107,0,0,0,0,0.0,0.0,0.0
25,102,0,0,0,0,0.0,0.0,0.0
