prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
2,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
3,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
4,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
5,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
6,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
7,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
8,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
9,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
10,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
11,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
12,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
13,937,455,482,0,0,0.4855923159018143,1.0,0.6537356321839081
14,937,434,482,0,21,0.4737991266375546,0.9538461538461539,0.6331145149525893
15,937,434,482,0,21,0.4737991266375546,0.9538461538461539,0.6331145149525893
16,937,433,482,0,22,0.473224043715847,0.9516483516483516,0.6321167883211679
17,916,26,89,393,408,0.2260869565217391,0.05990783410138249,0.09471766848816028
18,915,26,89,393,407,0.2260869565217391,0.06004618937644342,0.0948905109489051
19,897,10,0,482,405,1.0,0.02409638554216868,0.04705882352941176
20,895,317,485,10,98,0.3952618453865336,0.763855421686747,0.5209531635168447
21,872,279,331,152,112,0.4573770491803278,0.7135549872122762,0.5574425574425573
22,864,309,444,39,74,0.4103585657370518,0.8067885117493473,0.5440140845070423
23,830,261,313,160,98,0.4547038327526132,0.7270194986072424,0.5594855305466238
24,814,280,394,78,62,0.4154302670623146,0.8187134502923976,0.5511811023622049
25,770,267,338,107,59,0.4413223140495868,0.8190184049079755,0.5735767991407089
26,752,261,359,81,52,0.4209677419354839,0.8338658146964856,0.5594855305466238
27,706,104,113,300,190,0.4792626728110599,0.3537414965986395,0.4070450097847358
28,686,228,262,147,49,0.4653061224489796,0.8231046931407943,0.5945241199478487
29,642,19,35,350,238,0.3518518518518519,0.07392996108949416,0.1221864951768489
30,618,22,69,312,215,0.2417582417582418,0.09282700421940929,0.1341463414634146
31,582,202,341,16,23,0.3720073664825046,0.8977777777777778,0.5260416666666666
32,547,30,90,255,172,0.25,0.1485148514851485,0.1863354037267081
33,509,17,62,265,165,0.2151898734177215,0.09340659340659341,0.1302681992337165
34,483,0,0,0,0,0.0,0.0,0.0
35,452,0,0,0,0,0.0,0.0,0.0
