prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,937,756,181,0,0,0.8068303094983992,1.0,0.8930891907855878
2,937,756,181,0,0,0.8068303094983992,1.0,0.8930891907855878
3,937,756,181,0,0,0.8068303094983992,1.0,0.8930891907855878
4,937,756,181,0,0,0.8068303094983992,1.0,0.8930891907855878
5,937,756,181,0,0,0.8068303094983992,1.0,0.8930891907855878
6,937,756,181,0,0,0.8068303094983992,1.0,0.8930891907855878
7,937,736,180,1,20,0.8034934497816594,0.9735449735449735,0.8803827751196172
8,937,718,179,2,38,0.8004459308807135,0.9497354497354498,0.868723532970357
9,937,718,179,2,38,0.8004459308807135,0.9497354497354498,0.868723532970357
10,937,698,179,2,58,0.7958950969213227,0.9232804232804233,0.8548683404776485
11,937,670,175,6,86,0.7928994082840237,0.8862433862433863,0.8369768894440974
12,937,670,175,6,86,0.7928994082840237,0.8862433862433863,0.8369768894440974
13,937,626,165,16,130,0.7914032869785083,0.828042328042328,0.8093083387201034
14,937,581,155,26,175,0.7894021739130435,0.7685185185185185,0.7788203753351206
15,937,563,149,32,193,0.7907303370786517,0.7447089947089947,0.7670299727520435
16,937,516,138,43,240,0.7889908256880734,0.6825396825396826,0.7319148936170213
17,916,516,138,42,220,0.7889908256880734,0.7010869565217391,0.7424460431654677
18,915,516,138,42,219,0.7889908256880734,0.7020408163265306,0.7429805615550756
19,897,472,117,62,246,0.801358234295416,0.6573816155988857,0.7222647283856161
20,895,516,138,41,200,0.7889908256880734,0.7206703910614525,0.7532846715328468
21,872,472,117,58,225,0.801358234295416,0.6771879483500718,0.7340590979782271
22,864,472,117,58,217,0.801358234295416,0.6850507982583455,0.7386541471048512
23,830,472,117,48,193,0.801358234295416,0.7097744360902256,0.7527910685805422
24,814,472,117,46,179,0.801358234295416,0.7250384024577573,0.7612903225806451
25,770,421,99,55,195,0.8096153846153846,0.6834415584415584,0.7411971830985915
26,752,472,117,32,131,0.801358234295416,0.7827529021558872,0.7919463087248323
27,706,421,99,44,142,0.8096153846153846,0.7477797513321492,0.7774699907663898
28,686,421,99,39,127,0.8096153846153846,0.7682481751824818,0.7883895131086143
29,642,421,99,27,95,0.8096153846153846,0.8158914728682171,0.8127413127413128
30,618,421,88,29,80,0.8271119842829077,0.8403193612774451,0.8336633663366336
31,582,0,15,95,472,0.0,0.0,0.0
32,547,421,88,11,27,0.8271119842829077,0.9397321428571429,0.8798328108672937
33,509,0,6,82,421,0.0,0.0,0.0
34,483,0,0,0,0,0.0,0.0,0.0
35,452,0,0,0,0,0.0,0.0,0.0
