prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,151,124,25,1,1,0.8322147651006712,0.992,0.9051094890510948
2,150,122,25,0,3,0.8299319727891157,0.976,0.8970588235294118
3,150,121,25,0,4,0.8287671232876712,0.968,0.8929889298892988
4,150,121,25,0,4,0.8287671232876712,0.968,0.8929889298892988
5,150,122,25,0,3,0.8299319727891157,0.976,0.8970588235294118
6,150,121,25,0,4,0.8287671232876712,0.968,0.8929889298892988
7,150,121,25,0,4,0.8287671232876712,0.968,0.8929889298892988
8,149,121,25,0,3,0.8287671232876712,0.9758064516129032,0.8962962962962963
9,149,121,25,0,3,0.8287671232876712,0.9758064516129032,0.8962962962962963
10,149,121,25,0,3,0.8287671232876712,0.9758064516129032,0.8962962962962963
11,149,121,25,0,3,0.8287671232876712,0.9758064516129032,0.8962962962962963
12,147,121,25,0,1,0.8287671232876712,0.9918032786885246,0.9029850746268656
13,146,120,24,1,1,0.8333333333333334,0.9917355371900827,0.9056603773584906
14,146,120,23,2,1,0.8391608391608392,0.9917355371900827,0.9090909090909092
15,146,119,23,2,2,0.8380281690140845,0.9834710743801653,0.9049429657794678
16,146,119,23,2,2,0.8380281690140845,0.9834710743801653,0.9049429657794678
17,146,119,23,2,2,0.8380281690140845,0.9834710743801653,0.9049429657794678
18,146,119,23,2,2,0.8380281690140845,0.9834710743801653,0.9049429657794678
19,145,119,23,2,1,0.8380281690140845,0.9916666666666667,0.9083969465648855
20,144,119,23,1,1,0.8380281690140845,0.9916666666666667,0.9083969465648855
21,143,119,23,0,1,0.8380281690140845,0.9916666666666667,0.9083969465648855
22,142,119,23,0,0,0.8380281690140845,1.0,0.9118773946360154
23,142,119,23,0,0,0.8380281690140845,1.0,0.9118773946360154
24,142,119,23,0,0,0.8380281690140845,1.0,0.9118773946360154
25,142,119,23,0,0,0.8380281690140845,1.0,0.9118773946360154
26,142,0,0,0,0,0,0,0
27,142,0,0,0,0,0,0,0
28,142,0,0,0,0,0,0,0
29,142,0,0,0,0,0,0,0
30,142,0,0,0,0,0,0,0
31,142,0,0,0,0,0,0,0
32,141,0,0,0,0,0,0,0
33,141,0,0,0,0,0,0,0
34,141,0,0,0,0,0,0,0
35,141,0,0,0,0,0,0,0
36,141,0,0,0,0,0,0,0
37,141,0,0,0,0,0,0,0
38,141,0,0,0,0,0,0,0
39,140,0,0,0,0,0,0,0
40,140,0,0,0,0,0,0,0
