prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,151,135,16,0,0,0.8940397350993378,1.0,0.9440559440559442
2,151,135,16,0,0,0.8940397350993378,1.0,0.9440559440559442
3,151,135,16,0,0,0.8940397350993378,1.0,0.9440559440559442
4,151,135,16,0,0,0.8940397350993378,1.0,0.9440559440559442
5,151,135,16,0,0,0.8940397350993378,1.0,0.9440559440559442
6,151,135,16,0,0,0.8940397350993378,1.0,0.9440559440559442
7,151,132,16,0,3,0.8918918918918919,0.9777777777777777,0.9328621908127209
8,151,113,13,3,22,0.8968253968253969,0.837037037037037,0.8659003831417625
9,148,109,12,4,23,0.9008264462809917,0.8257575757575758,0.8616600790513834
10,146,109,12,4,21,0.9008264462809917,0.8384615384615385,0.8685258964143426
11,135,0,0,0,0,0,0,0
12,121,0,0,0,0,0,0,0
13,102,0,0,0,0,0,0,0
14,86,0,0,0,0,0,0,0
15,73,0,0,0,0,0,0,0
