prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,44,30,14,0,0,0.6818181818181818,1.0,0.8108108108108109
2,41,27,14,0,0,0.6585365853658537,1.0,0.7941176470588235
3,36,23,13,0,0,0.6388888888888888,1.0,0.7796610169491525
4,30,20,10,0,0,0.6666666666666666,1.0,0.8
5,25,15,10,0,0,0.6,1.0,0.7499999999999999
6,22,14,8,0,0,0.6363636363636364,1.0,0.7777777777777778
7,19,22,13,0,0,0.6285714285714286,1.0,0.7719298245614035
8,18,20,13,0,0,0.6060606060606061,1.0,0.7547169811320755
9,13,15,9,0,0,0.625,1.0,0.7692307692307693
10,9,19,11,0,0,0.6333333333333333,1.0,0.7755102040816326
