prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,44,9,5,9,21,0.6428571428571429,0.3,0.4090909090909091
2,41,8,5,9,19,0.6153846153846154,0.2962962962962963,0.4
3,36,6,3,10,17,0.6666666666666666,0.2608695652173913,0.37500000000000006
4,30,5,3,7,15,0.625,0.25,0.35714285714285715
5,25,4,3,7,11,0.5714285714285714,0.26666666666666666,0.36363636363636365
6,22,4,2,6,10,0.6666666666666666,0.2857142857142857,0.4
7,19,0,0,7,12,0,0.0,0
8,18,0,0,7,11,0,0.0,0
9,13,0,0,5,8,0,0.0,0
10,9,0,0,0,0,0,0,0
