prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,44,60,28,0,0,0.6818181818181818,1.0,0.8108108108108109
2,41,52,28,0,0,0.65,1.0,0.787878787878788
3,36,3,1,12,20,0.75,0.13043478260869565,0.22222222222222218
4,30,20,10,0,0,0.6666666666666666,1.0,0.8
5,25,15,10,0,0,0.6,1.0,0.7499999999999999
6,22,14,8,0,0,0.6363636363636364,1.0,0.7777777777777778
7,19,12,7,0,0,0.631578947368421,1.0,0.7741935483870968
8,18,11,7,0,0,0.6111111111111112,1.0,0.7586206896551725
9,13,8,5,0,0,0.6153846153846154,1.0,0.761904761904762
10,9,22,11,0,0,0.6666666666666666,1.0,0.8
