prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1.0,44.0,20.0,10.0,4.0,10.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
2.0,41.0,15.0,10.0,4.0,12.0,0.6,0.5555555555555556,0.576923076923077
3.0,36.0,15.0,10.0,3.0,8.0,0.6,0.6521739130434783,0.6250000000000001
4.0,30.0,15.0,10.0,0.0,5.0,0.6,0.75,0.6666666666666665
5.0,25.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0
6.0,22.0,2.0,0.0,8.0,12.0,1.0,0.14285714285714285,0.25
7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
