prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,937,756,181,0,0,0.8068303094983992,1,0.8930891907855878
2,937,756,181,0,0,0.8068303094983992,1,0.8930891907855878
3,937,756,181,0,0,0.8068303094983992,1,0.8930891907855878
4,937,756,181,0,0,0.8068303094983992,1,0.8930891907855878
5,937,756,181,0,0,0.8068303094983992,1,0.8930891907855878
6,937,756,181,0,0,0.8068303094983992,1,0.8930891907855878
7,937,756,181,0,0,0.8068303094983992,1,0.8930891907855878
8,937,756,181,0,0,0.8068303094983992,1,0.8930891907855878
9,937,756,181,0,0,0.8068303094983992,1,0.8930891907855878
10,937,756,181,0,0,0.8068303094983992,1,0.8930891907855878
11,937,756,181,0,0,0.8068303094983992,1,0.8930891907855878
12,937,756,181,0,0,0.8068303094983992,1,0.8930891907855878
13,937,756,181,0,0,0.8068303094983992,1,0.8930891907855878
14,937,756,181,0,0,0.8068303094983992,1,0.8930891907855878
15,937,756,181,0,0,0.8068303094983992,1,0.8930891907855878
16,937,756,181,0,0,0.8068303094983992,1,0.8930891907855878
17,916,736,180,0,0,0.8034934497816594,1,0.8910411622276029
18,915,735,180,0,0,0.8032786885245902,1,0.8909090909090909
19,897,718,179,0,0,0.8004459308807135,1,0.8891640866873065
20,895,716,179,0,0,0.8,1,0.888888888888889
21,872,697,175,0,0,0.7993119266055045,1,0.8884639898024218
22,864,689,175,0,0,0.7974537037037037,1,0.8873148744365744
23,830,665,165,0,0,0.8012048192771084,1,0.8896321070234113
24,814,651,163,0,0,0.7997542997542998,1,0.8887372013651877
25,770,616,154,0,0,0.8,1,0.888888888888889
26,752,603,149,0,0,0.8018617021276596,1,0.8900369003690036
27,706,563,143,0,0,0.7974504249291785,1,0.8873128447596533
28,686,548,138,0,0,0.7988338192419825,1,0.8881685575364668
29,642,516,126,0,0,0.8037383177570093,1,0.8911917098445596
30,618,501,117,0,0,0.8106796116504854,1,0.8954423592493298
31,582,472,110,0,0,0.8109965635738832,1,0.8956356736242884
32,547,448,99,0,0,0.8190127970749543,1,0.9005025125628141
33,509,0,0,0,0,0.0,0,0.0
34,483,0,0,0,0,0.0,0,0.0
35,452,0,0,0,0,0.0,0,0.0
