prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
2,157,22,127,6,2,0.1476510067114094,0.9166666666666666,0.254335260115607
3,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
4,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
5,157,2,20,113,22,0.09090909090909091,0.08333333333333333,0.08695652173913043
6,157,13,41,92,11,0.24074074074074073,0.5416666666666666,0.33333333333333337
7,157,23,109,24,1,0.17424242424242425,0.9583333333333334,0.29487179487179493
8,154,12,30,100,12,0.2857142857142857,0.5,0.36363636363636365
9,152,23,106,22,1,0.17829457364341086,0.9583333333333334,0.3006535947712418
10,142,11,25,93,13,0.3055555555555556,0.4583333333333333,0.3666666666666667
11,129,11,25,81,12,0.3055555555555556,0.4782608695652174,0.3728813559322034
12,109,2,4,82,21,0.3333333333333333,0.08695652173913043,0.13793103448275862
13,93,9,31,39,14,0.225,0.391304347826087,0.2857142857142857
14,82,0,0,0,0,0,0,0
