prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,44,30,14,0,0,0.6818181818181818,1.0,0.8108108108108109
2,41,27,14,0,0,0.6585365853658537,1.0,0.7941176470588235
3,36,23,13,0,0,0.6388888888888888,1.0,0.7796610169491525
4,30,20,10,0,0,0.6666666666666666,1.0,0.8
5,25,15,10,0,0,0.6,1.0,0.7499999999999999
6,22,14,8,0,0,0.6363636363636364,1.0,0.7777777777777778
7,19,12,7,0,0,0.631578947368421,1.0,0.7741935483870968
8,18,11,7,0,0,0.6111111111111112,1.0,0.7586206896551725
9,13,8,5,0,0,0.6153846153846154,1.0,0.761904761904762
10,9,6,3,0,0,0.6666666666666666,1.0,0.8
11,7,4,3,0,0,0.5714285714285714,1.0,0.7272727272727273
12,6,3,3,0,0,0.5,1.0,0.6666666666666666
13,6,3,3,0,0,0.5,1.0,0.6666666666666666
14,4,2,2,0,0,0.5,1.0,0.6666666666666666
