prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,157,24,133,0,0,0.1528662420382166,1,0.2651933701657458
2,157,24,133,0,0,0.1528662420382166,1,0.2651933701657458
3,157,24,133,0,0,0.1528662420382166,1,0.2651933701657458
4,157,24,133,0,0,0.1528662420382166,1,0.2651933701657458
5,157,24,133,0,0,0.1528662420382166,1,0.2651933701657458
6,157,24,133,0,0,0.1528662420382166,1,0.2651933701657458
7,157,24,133,0,0,0.1528662420382166,1,0.2651933701657458
8,154,24,130,0,0,0.1558441558441558,1,0.2696629213483146
9,152,24,128,0,0,0.1578947368421053,1,0.2727272727272727
10,142,24,118,0,0,0.1690140845070423,1,0.2891566265060241
11,129,23,106,0,0,0.1782945736434109,1,0.3026315789473684
12,109,33,111,0,0,0.2291666666666667,1,0.3728813559322033
13,93,33,94,0,0,0.2598425196850394,1,0.4125
14,82,31,79,0,0,0.2818181818181818,1,0.4397163120567376
15,61,24,59,0,0,0.2891566265060241,1,0.4485981308411214
16,51,16,35,0,0,0.3137254901960784,1,0.4776119402985075
17,40,14,26,0,0,0.35,1,0.5185185185185185
18,38,13,25,0,0,0.3421052631578947,1,0.5098039215686275
19,35,11,24,0,0,0.3142857142857143,1,0.4782608695652174
20,28,8,20,0,0,0.2857142857142857,1,0.4444444444444445
21,25,8,17,0,0,0.32,1,0.4848484848484849
22,21,7,14,0,0,0.3333333333333333,1,0.5
