prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,44,12,7,7,18,0.631578947368421,0.4,0.4897959183673469
2,41,15,10,4,12,0.6,0.5555555555555556,0.576923076923077
3,36,12,7,6,11,0.631578947368421,0.5217391304347826,0.5714285714285715
4,30,11,7,3,9,0.6111111111111112,0.55,0.5789473684210527
5,25,8,5,5,7,0.6153846153846154,0.5333333333333333,0.5714285714285715
6,22,0,0,0,0,0,0,0
7,19,0,0,0,0,0,0,0
8,18,0,0,0,0,0,0,0
9,13,0,0,0,0,0,0,0
10,9,0,0,0,0,0,0,0
11,7,0,0,0,0,0,0,0
12,6,0,0,0,0,0,0,0
13,6,0,0,0,0,0,0,0
14,4,0,0,0,0,0,0,0
