prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,157,16,44,89,8,0.26666666666666666,0.6666666666666666,0.3809523809523809
2,157,16,34,99,8,0.32,0.6666666666666666,0.43243243243243246
3,157,16,40,93,8,0.2857142857142857,0.6666666666666666,0.4
4,157,16,29,104,8,0.35555555555555557,0.6666666666666666,0.46376811594202905
5,157,14,25,108,10,0.358974358974359,0.5833333333333334,0.4444444444444445
6,157,14,25,108,10,0.358974358974359,0.5833333333333334,0.4444444444444445
7,157,12,25,108,12,0.32432432432432434,0.5,0.39344262295081966
8,154,12,25,105,12,0.32432432432432434,0.5,0.39344262295081966
9,152,12,24,104,12,0.3333333333333333,0.5,0.4
10,142,12,24,94,12,0.3333333333333333,0.5,0.4
11,129,9,21,85,14,0.3,0.391304347826087,0.33962264150943394
12,109,11,24,62,12,0.3142857142857143,0.4782608695652174,0.3793103448275862
13,93,8,19,51,15,0.2962962962962963,0.34782608695652173,0.31999999999999995
14,82,8,19,42,13,0.2962962962962963,0.38095238095238093,0.3333333333333333
15,61,8,18,26,9,0.3076923076923077,0.47058823529411764,0.372093023255814
16,51,7,15,20,9,0.3181818181818182,0.4375,0.3684210526315789
17,40,0,0,0,0,0,0,0
18,38,0,0,0,0,0,0,0
19,35,0,0,0,0,0,0,0
20,28,0,0,0,0,0,0,0
21,25,0,0,0,0,0,0,0
22,21,0,0,0,0,0,0,0
