prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,228,0,0,0,0,0,0,0
2,225,0,0,0,0,0,0,0
3,216,0,0,0,0,0,0,0
4,211,0,0,0,0,0,0,0
5,205,0,0,0,0,0,0,0
6,199,0,0,0,0,0,0,0
7,198,0,0,0,0,0,0,0
8,196,0,0,0,0,0,0,0
9,195,0,0,0,0,0,0,0
10,195,0,0,0,0,0,0,0
11,193,0,0,0,0,0,0,0
12,193,0,0,0,0,0,0,0
13,192,0,0,0,0,0,0,0
14,191,0,0,0,0,0,0,0
15,191,0,0,0,0,0,0,0
16,191,0,0,0,0,0,0,0
17,190,0,0,0,0,0,0,0
18,190,0,0,0,0,0,0,0
19,189,0,0,0,0,0,0,0
20,187,0,0,0,0,0,0,0
21,185,0,0,0,0,0,0,0
22,179,0,0,0,0,0,0,0
23,176,0,0,0,0,0,0,0
24,173,0,0,0,0,0,0,0
25,155,0,0,0,0,0,0,0
26,134,0,0,0,0,0,0,0
27,112,0,0,0,0,0,0,0
28,106,0,0,0,0,0,0,0
29,97,0,0,0,0,0,0,0
30,92,0,0,0,0,0,0,0
