prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,228,77,151,0,0,0.33771929824561403,1.0,0.5049180327868852
2,227,154,300,0,0,0.3392070484581498,1.0,0.5065789473684211
3,218,154,282,0,0,0.3532110091743119,1.0,0.5220338983050847
4,213,154,272,0,0,0.3615023474178404,1.0,0.5310344827586206
5,207,154,260,0,0,0.3719806763285024,1.0,0.5422535211267606
6,200,77,123,0,0,0.385,1.0,0.555956678700361
7,200,77,123,0,0,0.385,1.0,0.555956678700361
8,198,142,220,0,0,0.39226519337016574,1.0,0.5634920634920635
9,198,142,220,0,0,0.39226519337016574,1.0,0.5634920634920635
10,198,142,220,0,0,0.39226519337016574,1.0,0.5634920634920635
11,195,77,118,0,0,0.39487179487179486,1.0,0.5661764705882353
12,195,77,118,0,0,0.39487179487179486,1.0,0.5661764705882353
13,194,77,117,0,0,0.39690721649484534,1.0,0.5682656826568265
14,192,76,116,0,0,0.3958333333333333,1.0,0.5671641791044776
15,192,76,116,0,0,0.3958333333333333,1.0,0.5671641791044776
16,192,76,116,0,0,0.3958333333333333,1.0,0.5671641791044776
17,192,76,116,0,0,0.3958333333333333,1.0,0.5671641791044776
18,192,76,116,0,0,0.3958333333333333,1.0,0.5671641791044776
19,191,76,115,0,0,0.39790575916230364,1.0,0.5692883895131086
20,191,76,115,0,0,0.39790575916230364,1.0,0.5692883895131086
21,191,76,115,0,0,0.39790575916230364,1.0,0.5692883895131086
22,190,76,114,0,0,0.4,1.0,0.5714285714285715
23,190,76,114,0,0,0.4,1.0,0.5714285714285715
24,189,0,0,0,0,0,0,0
25,189,0,0,0,0,0,0,0
26,189,0,0,0,0,0,0,0
27,185,0,0,0,0,0,0,0
28,184,0,0,0,0,0,0,0
29,182,0,0,0,0,0,0,0
30,182,0,0,0,0,0,0,0
31,178,0,0,0,0,0,0,0
32,175,0,0,0,0,0,0,0
33,172,0,0,0,0,0,0,0
34,170,0,0,0,0,0,0,0
35,168,0,0,0,0,0,0,0
36,165,0,0,0,0,0,0,0
37,160,0,0,0,0,0,0,0
38,159,0,0,0,0,0,0,0
39,157,0,0,0,0,0,0,0
40,157,0,0,0,0,0,0,0
