prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,228,139,89,0,0,0.6096491228070176,1.0,0.7574931880108992
2,227,138,89,0,0,0.6079295154185022,1.0,0.7561643835616438
3,218,129,89,0,0,0.591743119266055,1.0,0.7435158501440923
4,213,124,89,0,0,0.5821596244131455,1.0,0.7359050445103857
5,207,118,89,0,0,0.5700483091787439,1.0,0.7261538461538461
6,200,111,89,0,0,0.555,1.0,0.7138263665594855
7,200,111,89,0,0,0.555,1.0,0.7138263665594855
8,198,109,89,0,0,0.5505050505050505,1.0,0.7100977198697068
9,198,109,89,0,0,0.5505050505050505,1.0,0.7100977198697068
10,198,109,89,0,0,0.5505050505050505,1.0,0.7100977198697068
11,195,106,89,0,0,0.5435897435897435,1.0,0.7043189368770765
12,195,106,89,0,0,0.5435897435897435,1.0,0.7043189368770765
13,194,105,89,0,0,0.5412371134020618,1.0,0.7023411371237458
14,192,103,89,0,0,0.5364583333333334,1.0,0.6983050847457627
15,192,103,89,0,0,0.5364583333333334,1.0,0.6983050847457627
16,192,103,89,0,0,0.5364583333333334,1.0,0.6983050847457627
17,192,103,89,0,0,0.5364583333333334,1.0,0.6983050847457627
18,191,103,88,0,0,0.5392670157068062,1.0,0.7006802721088435
19,190,102,88,0,0,0.5368421052631579,1.0,0.6986301369863014
20,190,102,88,0,0,0.5368421052631579,1.0,0.6986301369863014
21,190,102,88,0,0,0.5368421052631579,1.0,0.6986301369863014
22,189,108,90,0,0,0.5454545454545454,1.0,0.7058823529411764
23,189,108,90,0,0,0.5454545454545454,1.0,0.7058823529411764
24,188,107,90,0,0,0.5431472081218274,1.0,0.7039473684210527
25,188,107,90,0,0,0.5431472081218274,1.0,0.7039473684210527
26,188,107,90,0,0,0.5431472081218274,1.0,0.7039473684210527
27,184,113,100,0,0,0.5305164319248826,1.0,0.6932515337423313
28,183,112,100,0,0,0.5283018867924528,1.0,0.6913580246913581
29,180,110,99,0,0,0.5263157894736842,1.0,0.6896551724137931
30,180,110,99,0,0,0.5263157894736842,1.0,0.6896551724137931
31,175,90,88,0,0,0.5056179775280899,1.0,0.6716417910447761
32,172,103,92,0,0,0.5282051282051282,1.0,0.691275167785235
33,169,99,92,0,0,0.518324607329843,1.0,0.6827586206896552
34,166,97,91,0,0,0.5159574468085106,1.0,0.6807017543859649
35,163,94,93,0,0,0.5026737967914439,1.0,0.6690391459074733
36,160,91,93,0,0,0.4945652173913043,1.0,0.6618181818181819
37,156,85,93,0,0,0.47752808988764045,1.0,0.6463878326996197
38,155,107,110,0,0,0.4930875576036866,1.0,0.6604938271604938
39,153,104,108,0,0,0.49056603773584906,1.0,0.6582278481012659
40,153,104,108,0,0,0.49056603773584906,1.0,0.6582278481012659
