prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1.0,228.0,89.0,109.0,30.0,0.0,0.4494949494949495,1.0,0.6202090592334495
2.0,227.0,89.0,109.0,29.0,0.0,0.4494949494949495,1.0,0.6202090592334495
3.0,218.0,89.0,106.0,23.0,0.0,0.4564102564102564,1.0,0.6267605633802817
4.0,213.0,89.0,106.0,18.0,0.0,0.4564102564102564,1.0,0.6267605633802817
5.0,207.0,89.0,106.0,12.0,0.0,0.4564102564102564,1.0,0.6267605633802817
6.0,200.0,89.0,106.0,5.0,0.0,0.4564102564102564,1.0,0.6267605633802817
7.0,200.0,89.0,103.0,8.0,0.0,0.4635416666666667,1.0,0.6334519572953736
8.0,198.0,89.0,103.0,6.0,0.0,0.4635416666666667,1.0,0.6334519572953736
9.0,198.0,89.0,103.0,6.0,0.0,0.4635416666666667,1.0,0.6334519572953736
10.0,198.0,89.0,103.0,6.0,0.0,0.4635416666666667,1.0,0.6334519572953736
11.0,195.0,89.0,103.0,3.0,0.0,0.4635416666666667,1.0,0.6334519572953736
12.0,195.0,89.0,103.0,3.0,0.0,0.4635416666666667,1.0,0.6334519572953736
13.0,194.0,89.0,103.0,2.0,0.0,0.4635416666666667,1.0,0.6334519572953736
14.0,192.0,88.0,103.0,0.0,1.0,0.4607329842931937,0.9887640449438202,0.6285714285714284
15.0,192.0,88.0,103.0,0.0,1.0,0.4607329842931937,0.9887640449438202,0.6285714285714284
16.0,192.0,88.0,102.0,1.0,1.0,0.4631578947368421,0.9887640449438202,0.6308243727598567
17.0,192.0,88.0,102.0,1.0,1.0,0.4631578947368421,0.9887640449438202,0.6308243727598567
18.0,191.0,88.0,102.0,1.0,0.0,0.4631578947368421,1.0,0.6330935251798561
19.0,190.0,88.0,101.0,1.0,0.0,0.4656084656084656,1.0,0.6353790613718411
20.0,190.0,0.0,0.0,102.0,88.0,0.0,0.0,0.0
21.0,190.0,88.0,101.0,1.0,0.0,0.4656084656084656,1.0,0.6353790613718411
22.0,189.0,0.0,0.0,101.0,88.0,0.0,0.0,0.0
23.0,189.0,84.0,69.0,32.0,4.0,0.5490196078431373,0.9545454545454546,0.6970954356846474
24.0,188.0,84.0,69.0,31.0,4.0,0.5490196078431373,0.9545454545454546,0.6970954356846474
25.0,188.0,84.0,69.0,31.0,4.0,0.5490196078431373,0.9545454545454546,0.6970954356846474
26.0,188.0,84.0,69.0,31.0,4.0,0.5490196078431373,0.9545454545454546,0.6970954356846474
27.0,184.0,82.0,68.0,28.0,6.0,0.5466666666666666,0.9318181818181818,0.6890756302521007
28.0,183.0,82.0,68.0,27.0,6.0,0.5466666666666666,0.9318181818181818,0.6890756302521007
29.0,180.0,78.0,68.0,25.0,9.0,0.5342465753424658,0.896551724137931,0.6695278969957082
30.0,180.0,72.0,66.0,27.0,15.0,0.5217391304347826,0.8275862068965517,0.64
31.0,175.0,72.0,66.0,23.0,14.0,0.5217391304347826,0.8372093023255814,0.6428571428571429
32.0,172.0,68.0,66.0,20.0,18.0,0.5074626865671642,0.7906976744186046,0.6181818181818182
33.0,169.0,68.0,66.0,17.0,18.0,0.5074626865671642,0.7906976744186046,0.6181818181818182
34.0,166.0,63.0,65.0,16.0,22.0,0.4921875,0.7411764705882353,0.5915492957746479
35.0,163.0,60.0,65.0,14.0,24.0,0.48,0.7142857142857143,0.5741626794258373
36.0,160.0,60.0,65.0,11.0,24.0,0.48,0.7142857142857143,0.5741626794258373
37.0,156.0,58.0,65.0,7.0,26.0,0.4715447154471545,0.6904761904761905,0.5603864734299517
38.0,155.0,49.0,64.0,7.0,35.0,0.4336283185840708,0.5833333333333334,0.49746192893401014
39.0,153.0,49.0,64.0,5.0,35.0,0.4336283185840708,0.5833333333333334,0.49746192893401014
40.0,153.0,43.0,63.0,6.0,41.0,0.4056603773584906,0.5119047619047619,0.45263157894736844
