prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,937,663,274,0,0,0.7075773745997865,1.0,0.82875
2,937,663,274,0,0,0.7075773745997865,1.0,0.82875
3,937,663,274,0,0,0.7075773745997865,1.0,0.82875
4,937,663,274,0,0,0.7075773745997865,1.0,0.82875
5,937,663,274,0,0,0.7075773745997865,1.0,0.82875
6,937,663,274,0,0,0.7075773745997865,1.0,0.82875
7,937,661,241,33,2,0.7328159645232816,0.9969834087481146,0.8447284345047923
8,937,661,241,33,2,0.7328159645232816,0.9969834087481146,0.8447284345047923
9,937,660,224,50,3,0.746606334841629,0.995475113122172,0.8532643826761473
10,937,660,224,50,3,0.746606334841629,0.995475113122172,0.8532643826761473
11,937,635,187,87,28,0.7725060827250608,0.9577677224736049,0.8552188552188552
12,937,607,171,103,56,0.7802056555269923,0.9155354449472096,0.842470506592644
13,937,607,171,103,56,0.7802056555269923,0.9155354449472096,0.842470506592644
14,937,607,171,103,56,0.7802056555269923,0.9155354449472096,0.842470506592644
15,937,346,79,195,317,0.8141176470588235,0.521870286576169,0.6360294117647058
16,937,606,171,103,57,0.7799227799227799,0.9140271493212669,0.8416666666666666
17,916,601,171,83,61,0.7784974093264249,0.9078549848942599,0.8382147838214784
18,915,589,167,86,73,0.7791005291005291,0.8897280966767371,0.8307475317348378
19,897,589,167,69,72,0.7791005291005291,0.8910741301059002,0.8313338038108681
20,895,589,163,71,72,0.7832446808510638,0.8910741301059002,0.8336871903750885
21,872,589,163,52,68,0.7832446808510638,0.8964992389649924,0.8360539389638042
22,864,599,171,36,58,0.7779220779220779,0.9117199391171994,0.8395234758234058
23,830,599,171,22,38,0.7779220779220779,0.9403453689167975,0.851457000710732
24,814,589,163,16,46,0.7832446808510638,0.9275590551181102,0.8493150684931506
25,770,589,163,8,10,0.7832446808510638,0.9833055091819699,0.8719467061435973
26,752,27,3,160,562,0.9,0.04584040747028863,0.08723747980613894
27,706,484,127,23,76,0.7921440261865794,0.8642857142857143,0.8266438941076003
28,686,496,124,15,55,0.8,0.9001814882032668,0.8471391972672929
29,642,220,49,82,295,0.8178438661710037,0.42718446601941745,0.5612244897959183
30,618,373,97,23,132,0.7936170212765957,0.7386138613861386,0.7651282051282051
31,582,444,103,12,23,0.8117001828153565,0.9507494646680942,0.8757396449704142
32,547,66,7,96,378,0.9041095890410958,0.14864864864864866,0.25531914893617025
33,509,0,0,0,0,0,0,0
34,483,0,0,0,0,0,0,0
35,452,0,0,0,0,0,0,0
