prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1.0,937.0,756.0,181.0,0.0,0.0,0.8068303094983992,1.0,0.8930891907855878
2.0,937.0,756.0,181.0,0.0,0.0,0.8068303094983992,1.0,0.8930891907855878
3.0,937.0,756.0,181.0,0.0,0.0,0.8068303094983992,1.0,0.8930891907855878
4.0,937.0,756.0,181.0,0.0,0.0,0.8068303094983992,1.0,0.8930891907855878
5.0,937.0,756.0,181.0,0.0,0.0,0.8068303094983992,1.0,0.8930891907855878
6.0,937.0,756.0,181.0,0.0,0.0,0.8068303094983992,1.0,0.8930891907855878
7.0,937.0,736.0,180.0,1.0,20.0,0.8034934497816594,0.9735449735449735,0.8803827751196172
8.0,937.0,718.0,179.0,2.0,38.0,0.8004459308807135,0.9497354497354498,0.868723532970357
9.0,937.0,718.0,179.0,2.0,38.0,0.8004459308807135,0.9497354497354498,0.868723532970357
10.0,937.0,698.0,179.0,2.0,58.0,0.7958950969213227,0.9232804232804233,0.8548683404776485
11.0,937.0,670.0,175.0,6.0,86.0,0.7928994082840237,0.8862433862433863,0.8369768894440974
12.0,937.0,670.0,175.0,6.0,86.0,0.7928994082840237,0.8862433862433863,0.8369768894440974
13.0,937.0,626.0,165.0,16.0,130.0,0.7914032869785083,0.828042328042328,0.8093083387201034
14.0,937.0,581.0,155.0,26.0,175.0,0.7894021739130435,0.7685185185185185,0.7788203753351206
15.0,937.0,563.0,149.0,32.0,193.0,0.7907303370786517,0.7447089947089947,0.7670299727520435
16.0,937.0,516.0,138.0,43.0,240.0,0.7889908256880734,0.6825396825396826,0.7319148936170213
17.0,916.0,516.0,138.0,42.0,220.0,0.7889908256880734,0.7010869565217391,0.7424460431654677
18.0,915.0,516.0,138.0,42.0,219.0,0.7889908256880734,0.7020408163265306,0.7429805615550756
19.0,897.0,472.0,117.0,62.0,246.0,0.801358234295416,0.6573816155988857,0.7222647283856161
20.0,895.0,516.0,138.0,41.0,200.0,0.7889908256880734,0.7206703910614525,0.7532846715328468
21.0,872.0,472.0,117.0,58.0,225.0,0.801358234295416,0.6771879483500718,0.7340590979782271
22.0,864.0,472.0,117.0,58.0,217.0,0.801358234295416,0.6850507982583455,0.7386541471048512
23.0,830.0,472.0,117.0,48.0,193.0,0.801358234295416,0.7097744360902256,0.7527910685805422
24.0,814.0,472.0,117.0,46.0,179.0,0.801358234295416,0.7250384024577573,0.7612903225806451
25.0,770.0,421.0,99.0,55.0,195.0,0.8096153846153846,0.6834415584415584,0.7411971830985915
26.0,752.0,472.0,117.0,32.0,131.0,0.801358234295416,0.7827529021558872,0.7919463087248323
27.0,706.0,421.0,99.0,44.0,142.0,0.8096153846153846,0.7477797513321492,0.7774699907663898
28.0,686.0,421.0,99.0,39.0,127.0,0.8096153846153846,0.7682481751824818,0.7883895131086143
29.0,642.0,421.0,99.0,27.0,95.0,0.8096153846153846,0.8158914728682171,0.8127413127413128
30.0,618.0,421.0,88.0,29.0,80.0,0.8271119842829077,0.8403193612774451,0.8336633663366336
31.0,582.0,0.0,15.0,95.0,472.0,0.0,0.0,0.0
32.0,547.0,421.0,88.0,11.0,27.0,0.8271119842829077,0.9397321428571429,0.8798328108672937
33.0,509.0,0.0,6.0,82.0,421.0,0.0,0.0,0.0
34.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
