prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,266,199,67,0,0,0.7481203007518797,1.0,0.8559139784946237
2,266,199,67,0,0,0.7481203007518797,1.0,0.8559139784946237
3,266,199,67,0,0,0.7481203007518797,1.0,0.8559139784946237
4,266,199,67,0,0,0.7481203007518797,1.0,0.8559139784946237
5,265,199,66,0,0,0.7509433962264151,1.0,0.8577586206896552
6,264,198,66,0,0,0.75,1.0,0.8571428571428571
7,263,197,66,0,0,0.7490494296577946,1.0,0.8565217391304348
8,261,195,66,0,0,0.7471264367816092,1.0,0.8552631578947367
9,261,195,66,0,0,0.7471264367816092,1.0,0.8552631578947367
10,260,194,66,0,0,0.7461538461538462,1.0,0.8546255506607929
11,257,191,66,0,0,0.7431906614785992,1.0,0.8526785714285714
12,257,191,66,0,0,0.7431906614785992,1.0,0.8526785714285714
13,257,191,66,0,0,0.7431906614785992,1.0,0.8526785714285714
14,256,190,66,0,0,0.7421875,1.0,0.852017937219731
15,255,189,66,0,0,0.7411764705882353,1.0,0.8513513513513514
16,255,189,66,0,0,0.7411764705882353,1.0,0.8513513513513514
17,255,189,66,0,0,0.7411764705882353,1.0,0.8513513513513514
18,255,189,66,0,0,0.7411764705882353,1.0,0.8513513513513514
19,255,189,66,0,0,0.7411764705882353,1.0,0.8513513513513514
20,255,189,66,0,0,0.7411764705882353,1.0,0.8513513513513514
21,254,188,66,0,0,0.7401574803149606,1.0,0.8506787330316742
22,254,188,66,0,0,0.7401574803149606,1.0,0.8506787330316742
23,253,187,66,0,0,0.7391304347826086,1.0,0.85
24,251,185,66,0,0,0.7370517928286853,1.0,0.8486238532110092
25,249,184,65,0,0,0.7389558232931727,1.0,0.8498845265588915
26,249,184,65,0,0,0.7389558232931727,1.0,0.8498845265588915
27,248,183,65,0,0,0.7379032258064516,1.0,0.8491879350348028
28,247,183,64,0,0,0.7408906882591093,1.0,0.8511627906976744
29,246,183,63,0,0,0.7439024390243902,1.0,0.8531468531468531
30,245,182,63,0,0,0.7428571428571429,1.0,0.8524590163934427
31,244,181,63,0,0,0.7418032786885246,1.0,0.8517647058823529
32,243,180,63,0,0,0.7407407407407407,1.0,0.851063829787234
33,240,180,60,0,0,0.75,1.0,0.8571428571428571
34,240,180,60,0,0,0.75,1.0,0.8571428571428571
35,240,180,60,0,0,0.75,1.0,0.8571428571428571
36,240,180,60,0,0,0.75,1.0,0.8571428571428571
37,231,171,60,0,0,0.7402597402597403,1.0,0.8507462686567165
38,228,170,58,0,0,0.7456140350877193,1.0,0.8542713567839196
39,222,164,58,0,0,0.7387387387387387,1.0,0.8497409326424871
40,222,0,0,0,0,0,0,0
