prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,87,0,0,0,0,0,0,0
2,86,0,0,0,0,0,0,0
3,86,0,0,0,0,0,0,0
4,86,0,0,0,0,0,0,0
5,86,0,0,0,0,0,0,0
6,86,0,0,0,0,0,0,0
7,86,0,0,0,0,0,0,0
8,86,0,0,0,0,0,0,0
9,86,0,0,0,0,0,0,0
10,85,0,0,0,0,0,0,0
11,85,0,0,0,0,0,0,0
12,85,0,0,0,0,0,0,0
13,85,0,0,0,0,0,0,0
14,80,0,0,0,0,0,0,0
15,80,0,0,0,0,0,0,0
16,79,0,0,0,0,0,0,0
17,79,0,0,0,0,0,0,0
18,77,0,0,0,0,0,0,0
19,77,0,0,0,0,0,0,0
20,74,0,0,0,0,0,0,0
21,70,0,0,0,0,0,0,0
22,68,0,0,0,0,0,0,0
23,67,0,0,0,0,0,0,0
24,65,0,0,0,0,0,0,0
25,64,0,0,0,0,0,0,0
26,62,0,0,0,0,0,0,0
27,62,0,0,0,0,0,0,0
28,61,0,0,0,0,0,0,0
29,58,0,0,0,0,0,0,0
30,57,0,0,0,0,0,0,0
31,56,0,0,0,0,0,0,0
32,56,0,0,0,0,0,0,0
33,56,0,0,0,0,0,0,0
34,55,0,0,0,0,0,0,0
35,55,0,0,0,0,0,0,0
36,55,0,0,0,0,0,0,0
37,55,0,0,0,0,0,0,0
38,54,0,0,0,0,0,0,0
39,53,0,0,0,0,0,0,0
40,53,0,0,0,0,0,0,0
