prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1.0,211.0,155.0,55.0,0.0,1.0,0.7380952380952381,0.9935897435897436,0.8469945355191257
2.0,211.0,154.0,55.0,0.0,2.0,0.7368421052631579,0.9871794871794872,0.8438356164383561
3.0,211.0,154.0,55.0,0.0,2.0,0.7368421052631579,0.9871794871794872,0.8438356164383561
4.0,211.0,153.0,55.0,0.0,3.0,0.7355769230769231,0.9807692307692307,0.8406593406593407
5.0,211.0,151.0,55.0,0.0,5.0,0.7330097087378641,0.967948717948718,0.8342541436464088
6.0,211.0,151.0,55.0,0.0,5.0,0.7330097087378641,0.967948717948718,0.8342541436464088
7.0,211.0,151.0,55.0,0.0,5.0,0.7330097087378641,0.967948717948718,0.8342541436464088
8.0,211.0,151.0,55.0,0.0,5.0,0.7330097087378641,0.967948717948718,0.8342541436464088
9.0,211.0,148.0,55.0,0.0,8.0,0.729064039408867,0.9487179487179487,0.8245125348189415
10.0,210.0,148.0,55.0,0.0,7.0,0.729064039408867,0.9548387096774194,0.8268156424581006
11.0,209.0,148.0,55.0,0.0,6.0,0.729064039408867,0.961038961038961,0.8291316526610644
12.0,208.0,147.0,55.0,0.0,6.0,0.7277227722772277,0.9607843137254902,0.8281690140845072
13.0,206.0,146.0,55.0,0.0,5.0,0.7263681592039801,0.9668874172185431,0.8295454545454546
14.0,206.0,146.0,55.0,0.0,5.0,0.7263681592039801,0.9668874172185431,0.8295454545454546
15.0,203.0,146.0,55.0,0.0,2.0,0.7263681592039801,0.9864864864864865,0.836676217765043
16.0,203.0,145.0,55.0,0.0,3.0,0.725,0.9797297297297297,0.8333333333333334
17.0,202.0,145.0,55.0,0.0,2.0,0.725,0.9863945578231292,0.8357348703170028
18.0,201.0,142.0,55.0,0.0,4.0,0.7208121827411168,0.9726027397260274,0.8279883381924198
19.0,201.0,141.0,55.0,0.0,5.0,0.7193877551020408,0.9657534246575342,0.8245614035087718
20.0,200.0,141.0,55.0,0.0,4.0,0.7193877551020408,0.9724137931034482,0.8269794721407625
21.0,197.0,141.0,55.0,0.0,1.0,0.7193877551020408,0.9929577464788732,0.8343195266272189
22.0,196.0,141.0,55.0,0.0,0.0,0.7193877551020408,1.0,0.8367952522255193
23.0,196.0,141.0,55.0,0.0,0.0,0.7193877551020408,1.0,0.8367952522255193
24.0,196.0,0.0,0.0,55.0,141.0,0.0,0.0,0.0
25.0,194.0,141.0,53.0,0.0,0.0,0.7268041237113402,1.0,0.8417910447761193
26.0,194.0,0.0,5.0,48.0,141.0,0.0,0.0,0.0
27.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
