prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,211,155,55,0,1,0.7380952380952381,0.9935897435897436,0.8469945355191257
2,211,154,55,0,2,0.7368421052631579,0.9871794871794872,0.8438356164383561
3,211,154,55,0,2,0.7368421052631579,0.9871794871794872,0.8438356164383561
4,211,153,55,0,3,0.7355769230769231,0.9807692307692307,0.8406593406593407
5,211,151,55,0,5,0.7330097087378641,0.967948717948718,0.8342541436464088
6,211,151,55,0,5,0.7330097087378641,0.967948717948718,0.8342541436464088
7,211,151,55,0,5,0.7330097087378641,0.967948717948718,0.8342541436464088
8,211,151,55,0,5,0.7330097087378641,0.967948717948718,0.8342541436464088
9,211,148,55,0,8,0.729064039408867,0.9487179487179487,0.8245125348189415
10,210,148,55,0,7,0.729064039408867,0.9548387096774194,0.8268156424581006
11,209,148,55,0,6,0.729064039408867,0.961038961038961,0.8291316526610644
12,208,147,55,0,6,0.7277227722772277,0.9607843137254902,0.8281690140845072
13,206,146,55,0,5,0.7263681592039801,0.9668874172185431,0.8295454545454546
14,206,146,55,0,5,0.7263681592039801,0.9668874172185431,0.8295454545454546
15,203,146,55,0,2,0.7263681592039801,0.9864864864864865,0.836676217765043
16,203,145,55,0,3,0.725,0.9797297297297297,0.8333333333333334
17,202,145,55,0,2,0.725,0.9863945578231292,0.8357348703170028
18,201,142,55,0,4,0.7208121827411168,0.9726027397260274,0.8279883381924198
19,201,141,55,0,5,0.7193877551020408,0.9657534246575342,0.8245614035087718
20,200,141,55,0,4,0.7193877551020408,0.9724137931034482,0.8269794721407625
21,197,141,55,0,1,0.7193877551020408,0.9929577464788732,0.8343195266272189
22,196,141,55,0,0,0.7193877551020408,1.0,0.8367952522255193
23,196,141,55,0,0,0.7193877551020408,1.0,0.8367952522255193
24,196,0,0,55,141,0,0.0,0
25,194,141,53,0,0,0.7268041237113402,1.0,0.8417910447761193
26,194,0,5,48,141,0.0,0.0,0
27,193,0,0,0,0,0,0,0
28,193,0,0,0,0,0,0,0
29,193,0,0,0,0,0,0,0
30,193,0,0,0,0,0,0,0
31,193,0,0,0,0,0,0,0
32,192,0,0,0,0,0,0,0
33,192,0,0,0,0,0,0,0
34,192,0,0,0,0,0,0,0
35,189,0,0,0,0,0,0,0
36,189,0,0,0,0,0,0,0
37,188,0,0,0,0,0,0,0
38,188,0,0,0,0,0,0,0
39,188,0,0,0,0,0,0,0
40,185,0,0,0,0,0,0,0
