prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1.0,151.0,16.0,135.0,0.0,0.0,0.10596026490066225,1.0,0.19161676646706585
2.0,151.0,16.0,135.0,0.0,0.0,0.10596026490066225,1.0,0.19161676646706585
3.0,151.0,16.0,135.0,0.0,0.0,0.10596026490066225,1.0,0.19161676646706585
4.0,151.0,16.0,135.0,0.0,0.0,0.10596026490066225,1.0,0.19161676646706585
5.0,151.0,16.0,135.0,0.0,0.0,0.10596026490066225,1.0,0.19161676646706585
6.0,151.0,16.0,135.0,0.0,0.0,0.10596026490066225,1.0,0.19161676646706585
7.0,151.0,16.0,135.0,0.0,0.0,0.10596026490066225,1.0,0.19161676646706585
8.0,151.0,16.0,135.0,0.0,0.0,0.10596026490066225,1.0,0.19161676646706585
9.0,148.0,16.0,132.0,0.0,0.0,0.10810810810810811,1.0,0.1951219512195122
10.0,146.0,16.0,130.0,0.0,0.0,0.1095890410958904,1.0,0.19753086419753085
11.0,135.0,14.0,121.0,0.0,0.0,0.1037037037037037,1.0,0.18791946308724833
12.0,121.0,12.0,109.0,0.0,0.0,0.09917355371900827,1.0,0.18045112781954886
13.0,102.0,9.0,93.0,0.0,0.0,0.08823529411764706,1.0,0.1621621621621622
14.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
