prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,151,0,0,135,16,0,0.0,0
2,151,0,0,135,16,0,0.0,0
3,151,0,0,135,16,0,0.0,0
4,151,0,0,135,16,0,0.0,0
5,151,0,0,135,16,0,0.0,0
6,151,0,0,135,16,0,0.0,0
7,151,0,0,135,16,0,0.0,0
8,151,0,0,135,16,0,0.0,0
9,148,0,0,132,16,0,0.0,0
10,146,0,0,130,16,0,0.0,0
11,135,0,0,121,14,0,0.0,0
12,121,12,109,0,0,0.09917355371900827,1.0,0.18045112781954886
13,102,9,93,0,0,0.08823529411764706,1.0,0.1621621621621622
14,86,8,78,0,0,0.09302325581395349,1.0,0.1702127659574468
15,73,8,65,0,0,0.1095890410958904,1.0,0.19753086419753085
