prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,157,266,48,0,0,0.8471337579617835,1.0,0.9172413793103449
2,157,266,48,0,0,0.8471337579617835,1.0,0.9172413793103449
3,157,266,48,0,0,0.8471337579617835,1.0,0.9172413793103449
4,157,266,48,0,0,0.8471337579617835,1.0,0.9172413793103449
5,157,266,48,0,0,0.8471337579617835,1.0,0.9172413793103449
6,157,266,48,0,0,0.8471337579617835,1.0,0.9172413793103449
7,157,266,48,0,0,0.8471337579617835,1.0,0.9172413793103449
8,154,260,48,0,0,0.8441558441558441,1.0,0.9154929577464789
9,152,186,34,0,0,0.8454545454545455,1.0,0.916256157635468
10,142,236,48,0,0,0.8309859154929577,1.0,0.9076923076923077
11,129,133,29,0,0,0.8209876543209876,1.0,0.9016949152542372
12,109,86,23,0,0,0.7889908256880734,1.0,0.882051282051282
13,93,70,23,0,0,0.7526881720430108,1.0,0.8588957055214724
14,82,61,21,0,0,0.7439024390243902,1.0,0.8531468531468531
