prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1.0,157.0,24.0,133.0,0.0,0.0,0.15286624203821655,1.0,0.26519337016574585
2.0,157.0,22.0,127.0,6.0,2.0,0.1476510067114094,0.9166666666666666,0.254335260115607
3.0,157.0,24.0,133.0,0.0,0.0,0.15286624203821655,1.0,0.26519337016574585
4.0,157.0,24.0,133.0,0.0,0.0,0.15286624203821655,1.0,0.26519337016574585
5.0,157.0,2.0,20.0,113.0,22.0,0.09090909090909091,0.08333333333333333,0.08695652173913043
6.0,157.0,13.0,41.0,92.0,11.0,0.24074074074074073,0.5416666666666666,0.33333333333333337
7.0,157.0,23.0,109.0,24.0,1.0,0.17424242424242425,0.9583333333333334,0.29487179487179493
8.0,154.0,12.0,30.0,100.0,12.0,0.2857142857142857,0.5,0.36363636363636365
9.0,152.0,23.0,106.0,22.0,1.0,0.17829457364341086,0.9583333333333334,0.3006535947712418
10.0,142.0,11.0,25.0,93.0,13.0,0.3055555555555556,0.4583333333333333,0.3666666666666667
11.0,129.0,11.0,25.0,81.0,12.0,0.3055555555555556,0.4782608695652174,0.3728813559322034
12.0,109.0,2.0,4.0,82.0,21.0,0.3333333333333333,0.08695652173913043,0.13793103448275862
13.0,93.0,9.0,31.0,39.0,14.0,0.225,0.391304347826087,0.2857142857142857
14.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
