dataset,current_folder,upper_folder,precision_mean (%),recall_mean (%),fscore_mean (%),precision_weighted (%),recall_weighted (%),fscore_weighted (%)
bpic2011_f1,code,N,52.09,100.0,67.78,50.02,100.0,66.23
Unknown,code,N,38.57,100.0,55.64,38.46,100.0,55.52
Unknown,code,N,61.32,100.0,75.59,60.08,100.0,74.76
Unknown,code,N,59.79,100.0,74.83,59.82,100.0,74.85
Unknown,code,N,44.64,100.0,61.57,45.5,100.0,62.43
Unknown,code,N,80.76,100.0,89.35,80.64,100.0,89.28
Unknown,code,N,73.47,100.0,84.7,73.56,100.0,84.76
Unknown,code,N,83.46,100.0,90.98,83.45,100.0,90.98
Unknown,code,N,74.38,100.0,85.31,74.39,100.0,85.31
Unknown,code,N,85.2,100.0,92.01,85.27,100.0,92.05
bpic2015_5_f2,code,N,73.02,100.0,84.4,73.04,100.0,84.42
Unknown,code,N,90.06,100.0,94.74,89.71,100.0,94.55
Unknown,code,N,95.42,100.0,97.66,95.47,100.0,97.68
Production,code,N,64.07,100.0,78.07,64.59,100.0,78.46
Unknown,code,N,89.65,100.0,94.54,89.57,100.0,94.5
Unknown,code,N,89.82,100.0,94.57,89.39,100.0,94.34
Unknown,code,N,17.47,100.0,29.6,16.84,100.0,28.72
Unknown,code,N,60.15,100.0,75.12,60.15,100.0,75.12
bpic2011_f1,lib,N,52.09,100.0,67.78,50.02,100.0,66.23
Unknown,lib,N,38.57,100.0,55.64,38.46,100.0,55.52
Unknown,lib,N,61.32,100.0,75.59,60.08,100.0,74.76
Unknown,lib,N,59.79,100.0,74.83,59.82,100.0,74.85
Unknown,lib,N,44.64,100.0,61.57,45.5,100.0,62.43
Unknown,lib,N,80.76,100.0,89.35,80.64,100.0,89.28
Unknown,lib,N,73.47,100.0,84.7,73.56,100.0,84.76
Unknown,lib,N,83.4,100.0,90.95,83.39,100.0,90.94
Unknown,lib,N,74.39,100.0,85.31,74.39,100.0,85.32
Unknown,lib,N,85.2,100.0,92.01,85.27,100.0,92.05
bpic2015_5_f2,lib,N,73.02,100.0,84.4,73.04,100.0,84.42
Unknown,lib,N,90.06,100.0,94.74,89.71,100.0,94.55
Unknown,lib,N,95.42,100.0,97.66,95.47,100.0,97.68
Production,lib,N,63.78,100.0,77.86,64.52,100.0,78.4
Unknown,lib,N,89.61,100.0,94.52,89.55,100.0,94.49
Unknown,lib,N,89.82,100.0,94.57,89.39,100.0,94.34
Unknown,lib,N,17.47,100.0,29.6,16.84,100.0,28.72
Unknown,lib,N,60.15,100.0,75.12,60.15,100.0,75.12
Unknown,weighted,N,80.65,100.0,89.29,80.58,100.0,89.24
Unknown,weighted,N,90.06,100.0,94.74,89.71,100.0,94.55
bpic2011_f1,0% 0% 100%,N,52.16,100.0,67.85,50.09,100.0,66.3
Unknown,0% 0% 100%,N,38.66,100.0,55.74,38.6,100.0,55.68
Unknown,0% 0% 100%,N,61.32,100.0,75.59,60.08,100.0,74.76
Unknown,0% 0% 100%,N,52.89,100.0,69.1,53.25,100.0,69.42
Unknown,0% 0% 100%,N,73.44,100.0,84.68,73.53,100.0,84.74
Unknown,0% 0% 100%,N,83.46,100.0,90.98,83.45,100.0,90.98
Unknown,0% 0% 100%,N,74.38,100.0,85.31,74.39,100.0,85.31
Unknown,0% 0% 100%,N,84.07,100.0,91.34,84.3,100.0,91.47
bpic2015_5_f2,0% 0% 100%,N,72.83,100.0,84.28,72.86,100.0,84.3
