dataset,current_folder,upper_folder,precision_mean (%),recall_mean (%),fscore_mean (%),precision_weighted (%),recall_weighted (%),fscore_weighted (%)
bpic2011_f1,0% 50% 50%,N,52.08,100.0,67.77,50.01,100.0,66.22
Unknown,0% 50% 50%,N,38.66,100.0,55.74,38.6,100.0,55.68
Unknown,0% 50% 50%,N,61.32,100.0,75.59,60.08,100.0,74.76
Unknown,0% 50% 50%,N,59.79,100.0,74.83,59.82,100.0,74.85
Unknown,0% 50% 50%,N,44.64,100.0,61.57,45.5,100.0,62.43
Unknown,0% 50% 50%,N,80.76,100.0,89.35,80.64,100.0,89.28
Unknown,0% 50% 50%,N,73.47,100.0,84.7,73.56,100.0,84.76
Unknown,0% 50% 50%,N,83.46,100.0,90.98,83.45,100.0,90.98
Unknown,0% 50% 50%,N,74.38,100.0,85.31,74.39,100.0,85.31
Unknown,0% 50% 50%,N,85.2,100.0,92.01,85.27,100.0,92.05
bpic2015_5_f2,0% 50% 50%,N,72.83,100.0,84.28,72.86,100.0,84.3
Unknown,0% 50% 50%,N,90.06,100.0,94.74,89.71,100.0,94.55
Unknown,0% 50% 50%,N,95.42,100.0,97.66,95.47,100.0,97.68
Production,0% 50% 50%,N,63.75,100.0,77.84,64.47,100.0,78.36
Unknown,0% 50% 50%,N,89.65,100.0,94.54,89.57,100.0,94.5
Unknown,0% 50% 50%,N,89.82,100.0,94.57,89.39,100.0,94.34
Unknown,0% 50% 50%,N,17.47,100.0,29.6,16.84,100.0,28.72
Unknown,0% 50% 50%,N,60.15,100.0,75.12,60.15,100.0,75.12
