dataset,current_folder,upper_folder,precision_mean (%),recall_mean (%),fscore_mean (%),precision_weighted (%),recall_weighted (%),fscore_weighted (%)
bpic2011_f1,simple,N,79.72,86.03,82.65,79.49,85.56,82.31
Unknown,simple,N,39.1,92.77,55.01,39.13,92.96,55.06
Unknown,simple,N,62.58,87.23,71.45,62.19,86.78,71.11
Unknown,simple,N,52.82,88.93,65.21,52.94,89.0,65.39
Unknown,simple,N,44.11,72.63,50.3,45.07,75.85,52.1
Unknown,simple,N,75.32,78.03,76.26,76.95,80.13,78.09
Unknown,simple,N,73.65,94.87,82.91,73.69,94.89,82.94
Unknown,simple,N,83.37,98.41,90.27,83.36,98.4,90.25
Unknown,simple,N,74.33,96.58,84.0,74.34,96.55,83.99
Unknown,simple,N,83.8,90.2,86.81,83.92,90.5,87.02
bpic2015_5_f2,simple,N,72.11,91.6,80.68,72.12,91.53,80.65
Unknown,simple,N,95.4,52.9,66.26,95.23,54.27,67.4
Unknown,simple,N,94.11,6.7,12.48,94.51,6.85,12.74
Production,simple,N,62.79,57.99,59.92,62.7,56.06,58.85
Unknown,simple,N,89.55,94.79,91.93,89.54,94.85,91.96
Unknown,simple,N,92.14,96.26,93.91,91.92,96.66,94.01
Unknown,simple,N,26.68,72.51,38.49,26.78,72.38,38.55
Unknown,simple,N,99.38,36.72,43.06,99.38,36.72,43.06
