dataset,current_folder,upper_folder,precision_mean (%),recall_mean (%),fscore_mean (%),precision_weighted (%),recall_weighted (%),fscore_weighted (%)
bpic2011_f1,50% 0% 50%,QN,52.16,100.0,67.85,50.09,100.0,66.3
bpic2011_f2,50% 0% 50%,QN,38.66,100.0,55.74,38.6,100.0,55.68
bpic2011_f3,50% 0% 50%,QN,61.32,100.0,75.59,60.08,100.0,74.76
bpic2011_f4,50% 0% 50%,QN,52.89,100.0,69.1,53.25,100.0,69.42
bpic2012_accepted,50% 0% 50%,QN,44.95,100.0,61.89,45.69,100.0,62.62
bpic2012_declined,50% 0% 50%,QN,80.49,100.0,89.19,80.48,100.0,89.19
bpic2015_1_f2,50% 0% 50%,QN,73.4,100.0,84.65,73.5,100.0,84.72
bpic2015_2_f2,50% 0% 50%,QN,83.27,100.0,90.87,83.26,100.0,90.87
bpic2015_3_f2,50% 0% 50%,QN,74.38,100.0,85.31,74.39,100.0,85.31
bpic2015_4_f2,50% 0% 50%,QN,84.04,100.0,91.32,84.3,100.0,91.47
bpic2015_5_f2,50% 0% 50%,QN,72.83,100.0,84.28,72.86,100.0,84.3
Production,50% 0% 50%,QN,63.78,100.0,77.86,64.52,100.0,78.4
sepsis_cases_1,50% 0% 50%,QN,89.61,100.0,94.52,89.55,100.0,94.49
sepsis_cases_2,50% 0% 50%,QN,89.82,100.0,94.57,89.39,100.0,94.34
sepsis_cases_4,50% 0% 50%,QN,17.47,100.0,29.6,16.84,100.0,28.72
