dataset,current_folder,upper_folder,precision_mean (%),recall_mean (%),fscore_mean (%),precision_weighted (%),recall_weighted (%),fscore_weighted (%)
bpic2011_f1,0% 0% 100%,QN,52.16,100.0,67.85,50.09,100.0,66.3
Unknown,0% 0% 100%,QN,38.66,100.0,55.74,38.6,100.0,55.68
Unknown,0% 0% 100%,QN,61.32,100.0,75.59,60.08,100.0,74.76
Unknown,0% 0% 100%,QN,52.89,100.0,69.1,53.25,100.0,69.42
Unknown,0% 0% 100%,QN,44.95,100.0,61.89,45.69,100.0,62.62
Unknown,0% 0% 100%,QN,80.65,100.0,89.29,80.58,100.0,89.24
Unknown,0% 0% 100%,QN,73.4,100.0,84.65,73.5,100.0,84.72
Unknown,0% 0% 100%,QN,83.46,100.0,90.98,83.45,100.0,90.98
Unknown,0% 0% 100%,QN,74.38,100.0,85.31,74.39,100.0,85.31
Unknown,0% 0% 100%,QN,84.07,100.0,91.34,84.3,100.0,91.47
bpic2015_5_f2,0% 0% 100%,QN,72.83,100.0,84.28,72.86,100.0,84.3
Unknown,0% 0% 100%,QN,87.73,100.0,93.46,87.73,100.0,93.46
Unknown,0% 0% 100%,QN,95.73,100.0,97.82,95.73,100.0,97.82
Production,0% 0% 100%,QN,42.09,18.44,25.61,50.49,22.25,30.85
Unknown,0% 0% 100%,QN,89.57,100.0,94.49,89.52,100.0,94.47
Unknown,0% 0% 100%,QN,89.14,100.0,94.2,88.84,100.0,94.04
Unknown,0% 0% 100%,QN,16.84,100.0,28.74,16.45,100.0,28.19
Unknown,0% 0% 100%,QN,60.15,100.0,75.12,60.15,100.0,75.12
bpic2011_f1,50% 0% 50%,QN,52.16,100.0,67.85,50.09,100.0,66.3
Unknown,50% 0% 50%,QN,38.66,100.0,55.74,38.6,100.0,55.68
Unknown,50% 0% 50%,QN,61.32,100.0,75.59,60.08,100.0,74.76
Unknown,50% 0% 50%,QN,52.89,100.0,69.1,53.25,100.0,69.42
Unknown,50% 0% 50%,QN,44.95,100.0,61.89,45.69,100.0,62.62
Unknown,50% 0% 50%,QN,80.49,100.0,89.19,80.48,100.0,89.19
Unknown,50% 0% 50%,QN,73.4,100.0,84.65,73.5,100.0,84.72
Unknown,50% 0% 50%,QN,83.27,100.0,90.87,83.26,100.0,90.87
Unknown,50% 0% 50%,QN,74.38,100.0,85.31,74.39,100.0,85.31
Unknown,50% 0% 50%,QN,84.04,100.0,91.32,84.3,100.0,91.47
bpic2015_5_f2,50% 0% 50%,QN,72.83,100.0,84.28,72.86,100.0,84.3
Production,50% 0% 50%,QN,63.78,100.0,77.86,64.52,100.0,78.4
Unknown,50% 0% 50%,QN,89.61,100.0,94.52,89.55,100.0,94.49
Unknown,50% 0% 50%,QN,89.82,100.0,94.57,89.39,100.0,94.34
Unknown,50% 0% 50%,QN,17.47,100.0,29.6,16.84,100.0,28.72
Unknown,50% 50% 0%,QN,95.42,100.0,97.66,95.47,100.0,97.68
