dataset,current_folder,upper_folder,precision_mean (%),recall_mean (%),fscore_mean (%),precision_weighted (%),recall_weighted (%),fscore_weighted (%)
bpic2015_2_f2,weighted,QW,83.46,100.0,90.98,83.45,100.0,90.98
bpic2015_4_f2,weighted,QW,57.01,67.5,61.81,63.1,74.53,68.34
bpic2015_5_f2,weighted,QW,72.83,100.0,84.28,72.86,100.0,84.3
Production,weighted,QW,60.56,100.0,75.25,63.57,100.0,77.64
bpic2015_1_f2,50% 0% 50%,QW,73.7,100.0,84.85,73.73,100.0,84.87
bpic2015_2_f2,50% 0% 50%,QW,83.46,100.0,90.98,83.45,100.0,90.98
Production,50% 0% 50%,QW,49.85,78.57,60.96,60.71,94.29,73.83
sepsis_cases_1,50% 0% 50%,QW,88.98,100.0,94.15,89.47,100.0,94.44
sepsis_cases_2,50% 0% 50%,QW,90.77,100.0,95.1,90.03,100.0,94.69
sepsis_cases_4,50% 0% 50%,QW,22.65,100.0,36.33,18.77,100.0,31.24
