dataset,current_folder,upper_folder,precision_mean (%),recall_mean (%),fscore_mean (%),precision_weighted (%),recall_weighted (%),fscore_weighted (%)
Unknown,50% 0% 50%,QW,73.7,100.0,84.85,73.73,100.0,84.87
Unknown,50% 0% 50%,QW,83.46,100.0,90.98,83.45,100.0,90.98
Production,50% 0% 50%,QW,63.44,100.0,77.59,64.39,100.0,78.3
Unknown,50% 0% 50%,QW,88.98,100.0,94.15,89.47,100.0,94.44
Unknown,50% 0% 50%,QW,90.77,100.0,95.1,90.03,100.0,94.69
Unknown,50% 0% 50%,QW,22.65,100.0,36.33,18.77,100.0,31.24
Unknown,50% 50% 0%,QW,83.46,100.0,90.98,83.45,100.0,90.98
Unknown,50% 50% 0%,QW,84.47,100.0,91.57,84.66,100.0,91.68
bpic2015_5_f2,50% 50% 0%,QW,72.83,100.0,84.28,72.86,100.0,84.3
Production,50% 50% 0%,QW,60.56,100.0,75.25,63.57,100.0,77.64
