dataset,current_folder,upper_folder,precision_mean (%),recall_mean (%),fscore_mean (%),precision_weighted (%),recall_weighted (%),fscore_weighted (%)
bpic2011_f1,0% 0% 100%,W,52.16,100.0,67.85,50.09,100.0,66.3
Production,0% 0% 100%,W,0.0,0.0,0.0,0.0,0.0,0.0
sepsis_cases_1,0% 0% 100%,W,89.87,100.0,94.66,89.65,100.0,94.54
sepsis_cases_2,0% 0% 100%,W,90.36,100.0,94.87,89.78,100.0,94.55
sepsis_cases_4,0% 0% 100%,W,22.65,100.0,36.33,18.77,100.0,31.24
Production,0% 50% 50%,W,60.56,100.0,75.25,63.57,100.0,77.64
sepsis_cases_1,0% 50% 50%,W,88.98,100.0,94.15,89.47,100.0,94.44
sepsis_cases_2,0% 50% 50%,W,90.77,100.0,95.1,90.03,100.0,94.69
sepsis_cases_4,0% 50% 50%,W,22.96,100.0,36.72,19.03,100.0,31.57
Production,25% 50% 25%,W,60.56,100.0,75.25,63.57,100.0,77.64
sepsis_cases_1,25% 50% 25%,W,88.98,100.0,94.15,89.47,100.0,94.44
sepsis_cases_2,25% 50% 25%,W,90.77,100.0,95.1,90.03,100.0,94.69
sepsis_cases_4,25% 50% 25%,W,22.9,100.0,36.64,18.98,100.0,31.5
Production,33%,W,60.56,100.0,75.25,63.57,100.0,77.64
sepsis_cases_1,33%,W,89.65,100.0,94.54,89.57,100.0,94.5
sepsis_cases_2,33%,W,90.77,100.0,95.1,90.03,100.0,94.69
sepsis_cases_4,33%,W,22.65,100.0,36.33,18.77,100.0,31.24
Production,50% 0% 50%,W,60.56,100.0,75.25,63.57,100.0,77.64
sepsis_cases_1,50% 0% 50%,W,88.98,100.0,94.15,89.47,100.0,94.44
sepsis_cases_2,50% 0% 50%,W,90.77,100.0,95.1,90.03,100.0,94.69
sepsis_cases_4,50% 0% 50%,W,22.65,100.0,36.33,18.77,100.0,31.24
Production,50% 50% 0%,W,60.56,100.0,75.25,63.57,100.0,77.64
sepsis_cases_1,50% 50% 0%,W,89.73,100.0,94.58,89.6,100.0,94.51
sepsis_cases_2,50% 50% 0%,W,90.77,100.0,95.1,90.03,100.0,94.69
sepsis_cases_4,50% 50% 0%,W,22.28,100.0,35.91,18.63,100.0,31.08
