Trace id,Prefix len,Complete trace,Current prefix,Recommendation,Actual label,Target label,Compliant,Confusion matrix,Impurity,Fitness,Num samples
Case267,3,"Turning & Milling - Machine 4, Turning & Milling - Machine 4, Turning & Milling - Machine 4, Turning & Milling Q.C., Turning & Milling - Machine 4, Turning & Milling - Machine 4, Turning & Milling - Machine 4, Turning & Milling - Machine 4, Turning & Milling Q.C., Turning & Milling - Machine 4, Turning & Milling - Machine 4, Turning & Milling - Machine 4, Turning & Milling Q.C., Turning & Milling - Machine 4, Turning & Milling - Machine 4, Turning & Milling - Machine 4, Turning & Milling Q.C., Turning & Milling - Machine 4, Turning & Milling - Machine 4, Turning & Milling - Machine 4, Turning & Milling - Machine 4, Turning & Milling Q.C., Turning & Milling - Machine 4, Turning & Milling - Machine 4, Turning & Milling Q.C., Turning & Milling Q.C., Wire Cut - Machine 13, Wire Cut - Machine 13, Wire Cut - Machine 13, Turning & Milling Q.C., Wire Cut - Machine 13, Wire Cut - Machine 13, Wire Cut - Machine 13, Wire Cut - Machine 13, Wire Cut - Machine 13, Wire Cut - Machine 13, Wire Cut - Machine 13, Wire Cut - Machine 13, Laser Marking - Machine 7, Laser Marking - Machine 7, Laser Marking - Machine 7, Lapping - Machine 1, Laser Marking - Machine 7, Lapping - Machine 1, Lapping - Machine 1, Laser Marking - Machine 7, Lapping - Machine 1, Round Grinding - Machine 3, Round Grinding - Q.C., Round Grinding - Machine 3, Round Grinding - Machine 3, Round Grinding - Machine 3, Round Grinding - Machine 3, Round Grinding - Machine 3, Round Grinding - Machine 3, Round Grinding - Machine 3, Round Grinding - Machine 3, Round Grinding - Machine 3, Round Grinding - Machine 3, Round Grinding - Machine 3, Round Grinding - Machine 3, Round Grinding - Machine 3, Round Grinding - Machine 3, Round Grinding - Machine 3, Round Grinding - Machine 3, Round Grinding - Machine 3, Round Grinding - Q.C., Round Grinding - Q.C., Round Grinding - Q.C., Final Inspection Q.C., Packing, Round Grinding - Q.C., Final Inspection Q.C., Packing, Final Inspection Q.C., Final Inspection Q.C., Round Grinding - Q.C., Final Inspection Q.C.","Turning & Milling - Machine 4, Turning & Milling - Machine 4, Turning & Milling - Machine 4",prefix_1 should be Turning & Milling - Machine 4; prefix_2 should be Turning & Milling - Machine 10; prefix_3 should be Turning & Milling - Machine 10; prefix_4 should be Turning & Milling - Machine 10; prefix_5 should be Turning & Milling - Machine 10; prefix_6 should be Turn & Mill. & Screw Assem - Machine 10; prefix_7 should be Turn & Mill. & Screw Assem - Machine 10; prefix_8 should be Turning & Milling - Machine 10; prefix_9 should be Turning & Milling - Machine 10; prefix_10 should be Turning & Milling - Machine 4; prefix_11 should be Turning & Milling - Machine 4; prefix_12 should be Turning & Milling - Machine 4; prefix_13 should be Turn & Mill. & Screw Assem - Machine 10; prefix_14 should be Turning & Milling - Machine 4; prefix_15 should be Turning & Milling - Machine 10; prefix_16 should be Round Grinding - Q.C.; prefix_17 should be Turning & Milling - Machine 10; prefix_18 should be Turning & Milling - Machine 10; prefix_19 should be Turning & Milling - Machine 4; prefix_20 should be Turning & Milling - Machine 5; prefix_21 should be Turning & Milling Q.C.; Part_Desc__1 should be Machine 8 - Turning & Milling; Part_Desc__2 should be Machine 6 - Turning & Milling; Part_Desc__3 should be Machine 7- Laser Marking; Part_Desc__4 should be Machine 6 - Turning & Milling; Part_Desc__5 should be Machine 6 - Turning & Milling; Part_Desc__6 should be Machine 6 - Turning & Milling; Part_Desc__7 should be Machine 7- Laser Marking; Part_Desc__8 should be Machine 7- Laser Marking; Part_Desc__9 should be Machine 7- Laser Marking; Part_Desc__10 should be Machine 7- Laser Marking; Part_Desc__11 should be Machine 7- Laser Marking; Part_Desc__12 should be Machine 7- Laser Marking; Part_Desc__13 should be Machine 8 - Turning & Milling; Part_Desc__14 should be Machine 9 - Turning & Milling; Part_Desc__15 should be Machine 8 - Turning & Milling; Part_Desc__16 should be Machine 6 - Turning & Milling; Part_Desc__17 should be Machine 7- Laser Marking; Part_Desc__18 should be Packing; Part_Desc__19 should be Machine 9 - Turning & Milling; Part_Desc__20 should be Quality Check 1; ,FALSE,TRUE,FALSE,TN,0.0,1.0,12.054794520547942
Case155,3,"Turning - Machine 8, Turning & Milling - Machine 8, Turning & Milling - Machine 8, Turning & Milling Q.C., Turning & Milling - Machine 8, Turning & Milling Q.C., Laser Marking - Machine 7, Laser Marking - Machine 7, Lapping - Machine 1, Final Inspection Q.C., Final Inspection Q.C., Packing","Turning - Machine 8, Turning & Milling - Machine 8, Turning & Milling - Machine 8",prefix_1 should be Turning & Milling - Machine 4; prefix_2 should be Turning & Milling - Machine 10; prefix_3 should be Turning & Milling - Machine 10; prefix_4 should be Turning & Milling - Machine 10; prefix_5 should be Turning & Milling - Machine 10; prefix_6 should be Turn & Mill. & Screw Assem - Machine 10; prefix_7 should be Turn & Mill. & Screw Assem - Machine 10; prefix_8 should be Turning & Milling - Machine 10; prefix_9 should be Turning & Milling - Machine 10; prefix_10 should be Turning & Milling - Machine 4; prefix_11 should be Turning & Milling - Machine 4; prefix_12 should be Turning & Milling - Machine 4; prefix_13 should be Turn & Mill. & Screw Assem - Machine 10; prefix_14 should be Turning & Milling - Machine 4; prefix_15 should be Turning & Milling - Machine 10; prefix_16 should be Round Grinding - Q.C.; prefix_17 should be Turning & Milling - Machine 10; prefix_18 should be Turning & Milling - Machine 10; prefix_19 should be Turning & Milling - Machine 4; prefix_20 should be Turning & Milling - Machine 5; prefix_21 should be Turning & Milling Q.C.; Part_Desc__1 should be Machine 8 - Turning & Milling; Part_Desc__2 should be Machine 6 - Turning & Milling; Part_Desc__3 should be Machine 7- Laser Marking; Part_Desc__4 should be Machine 6 - Turning & Milling; Part_Desc__5 should be Machine 6 - Turning & Milling; Part_Desc__6 should be Machine 6 - Turning & Milling; Part_Desc__7 should be Machine 7- Laser Marking; Part_Desc__8 should be Machine 7- Laser Marking; Part_Desc__9 should be Machine 7- Laser Marking; Part_Desc__10 should be Machine 7- Laser Marking; Part_Desc__11 should be Machine 7- Laser Marking; Part_Desc__12 should be Machine 7- Laser Marking; Part_Desc__13 should be Machine 8 - Turning & Milling; Part_Desc__14 should be Machine 9 - Turning & Milling; Part_Desc__15 should be Machine 8 - Turning & Milling; Part_Desc__16 should be Machine 6 - Turning & Milling; Part_Desc__17 should be Machine 7- Laser Marking; Part_Desc__18 should be Packing; Part_Desc__19 should be Machine 9 - Turning & Milling; Part_Desc__20 should be Quality Check 1; ,TRUE,TRUE,FALSE,FN,0.0,1.0,12.054794520547942
Case179,3,"Grinding Rework - Machine 27, Final Inspection Q.C., Packing, other, Final Inspection Q.C., Packing","Grinding Rework - Machine 27, Final Inspection Q.C., Packing",prefix_1 should be Turning & Milling - Machine 4; prefix_2 should be Turning & Milling - Machine 10; prefix_3 should be Turning & Milling - Machine 10; prefix_4 should be Turning & Milling - Machine 10; prefix_5 should be Turning & Milling - Machine 10; prefix_6 should be Turn & Mill. & Screw Assem - Machine 10; prefix_7 should be Turn & Mill. & Screw Assem - Machine 10; prefix_8 should be Turning & Milling - Machine 10; prefix_9 should be Turning & Milling - Machine 10; prefix_10 should be Turning & Milling - Machine 4; prefix_11 should be Turning & Milling - Machine 4; prefix_12 should be Turning & Milling - Machine 4; prefix_13 should be Turn & Mill. & Screw Assem - Machine 10; prefix_14 should be Turning & Milling - Machine 4; prefix_15 should be Turning & Milling - Machine 10; prefix_16 should be Round Grinding - Q.C.; prefix_17 should be Turning & Milling - Machine 10; prefix_18 should be Turning & Milling - Machine 10; prefix_19 should be Turning & Milling - Machine 4; prefix_20 should be Turning & Milling - Machine 5; prefix_21 should be Turning & Milling Q.C.; Part_Desc__1 should be Machine 8 - Turning & Milling; Part_Desc__2 should be Machine 6 - Turning & Milling; Part_Desc__3 should be Machine 7- Laser Marking; Part_Desc__4 should be Machine 6 - Turning & Milling; Part_Desc__5 should be Machine 6 - Turning & Milling; Part_Desc__6 should be Machine 6 - Turning & Milling; Part_Desc__7 should be Machine 7- Laser Marking; Part_Desc__8 should be Machine 7- Laser Marking; Part_Desc__9 should be Machine 7- Laser Marking; Part_Desc__10 should be Machine 7- Laser Marking; Part_Desc__11 should be Machine 7- Laser Marking; Part_Desc__12 should be Machine 7- Laser Marking; Part_Desc__13 should be Machine 8 - Turning & Milling; Part_Desc__14 should be Machine 9 - Turning & Milling; Part_Desc__15 should be Machine 8 - Turning & Milling; Part_Desc__16 should be Machine 6 - Turning & Milling; Part_Desc__17 should be Machine 7- Laser Marking; Part_Desc__18 should be Packing; Part_Desc__19 should be Machine 9 - Turning & Milling; Part_Desc__20 should be Quality Check 1; ,FALSE,TRUE,FALSE,TN,0.0,1.0,12.054794520547942
Case256,3,"Turning - Machine 8, Turning - Machine 8, Turning - Machine 8, Turning Q.C., Turning - Machine 8, Turning - Machine 8, Turning - Machine 8, Turning - Machine 8, Turning - Machine 8, Turning - Machine 8, Turning Q.C., Turning & Milling - Machine 10, Turning & Milling Q.C., Turning & Milling - Machine 10","Turning - Machine 8, Turning - Machine 8, Turning - Machine 8",prefix_1 should be Turning & Milling - Machine 4; prefix_2 should be Turning & Milling - Machine 10; prefix_3 should be Turning & Milling - Machine 10; prefix_4 should be Turning & Milling - Machine 10; prefix_5 should be Turning & Milling - Machine 10; prefix_6 should be Turn & Mill. & Screw Assem - Machine 10; prefix_7 should be Turn & Mill. & Screw Assem - Machine 10; prefix_8 should be Turning & Milling - Machine 10; prefix_9 should be Turning & Milling - Machine 10; prefix_10 should be Turning & Milling - Machine 4; prefix_11 should be Turning & Milling - Machine 4; prefix_12 should be Turning & Milling - Machine 4; prefix_13 should be Turn & Mill. & Screw Assem - Machine 10; prefix_14 should be Turning & Milling - Machine 4; prefix_15 should be Turning & Milling - Machine 10; prefix_16 should be Round Grinding - Q.C.; prefix_17 should be Turning & Milling - Machine 10; prefix_18 should be Turning & Milling - Machine 10; prefix_19 should be Turning & Milling - Machine 4; prefix_20 should be Turning & Milling - Machine 5; prefix_21 should be Turning & Milling Q.C.; Part_Desc__1 should be Machine 8 - Turning & Milling; Part_Desc__2 should be Machine 6 - Turning & Milling; Part_Desc__3 should be Machine 7- Laser Marking; Part_Desc__4 should be Machine 6 - Turning & Milling; Part_Desc__5 should be Machine 6 - Turning & Milling; Part_Desc__6 should be Machine 6 - Turning & Milling; Part_Desc__7 should be Machine 7- Laser Marking; Part_Desc__8 should be Machine 7- Laser Marking; Part_Desc__9 should be Machine 7- Laser Marking; Part_Desc__10 should be Machine 7- Laser Marking; Part_Desc__11 should be Machine 7- Laser Marking; Part_Desc__12 should be Machine 7- Laser Marking; Part_Desc__13 should be Machine 8 - Turning & Milling; Part_Desc__14 should be Machine 9 - Turning & Milling; Part_Desc__15 should be Machine 8 - Turning & Milling; Part_Desc__16 should be Machine 6 - Turning & Milling; Part_Desc__17 should be Machine 7- Laser Marking; Part_Desc__18 should be Packing; Part_Desc__19 should be Machine 9 - Turning & Milling; Part_Desc__20 should be Quality Check 1; ,FALSE,TRUE,FALSE,TN,0.0,1.0,12.054794520547942
Case258,3,"Turning & Milling - Machine 6, Turning & Milling - Machine 6, Turning & Milling - Machine 6, Turning & Milling - Machine 6, Turning & Milling - Machine 6, Turning & Milling - Machine 6, Turning & Milling - Machine 6, Turning & Milling Q.C., Turning & Milling Q.C., Laser Marking - Machine 7, Turning & Milling Q.C., Lapping - Machine 1, Final Inspection Q.C.","Turning & Milling - Machine 6, Turning & Milling - Machine 6, Turning & Milling - Machine 6",prefix_1 should be Turning & Milling - Machine 4; prefix_2 should be Turning & Milling - Machine 10; prefix_3 should be Turning & Milling - Machine 10; prefix_4 should be Turning & Milling - Machine 10; prefix_5 should be Turning & Milling - Machine 10; prefix_6 should be Turn & Mill. & Screw Assem - Machine 10; prefix_7 should be Turn & Mill. & Screw Assem - Machine 10; prefix_8 should be Turning & Milling - Machine 10; prefix_9 should be Turning & Milling - Machine 10; prefix_10 should be Turning & Milling - Machine 4; prefix_11 should be Turning & Milling - Machine 4; prefix_12 should be Turning & Milling - Machine 4; prefix_13 should be Turn & Mill. & Screw Assem - Machine 10; prefix_14 should be Turning & Milling - Machine 4; prefix_15 should be Turning & Milling - Machine 10; prefix_16 should be Round Grinding - Q.C.; prefix_17 should be Turning & Milling - Machine 10; prefix_18 should be Turning & Milling - Machine 10; prefix_19 should be Turning & Milling - Machine 4; prefix_20 should be Turning & Milling - Machine 5; prefix_21 should be Turning & Milling Q.C.; Part_Desc__1 should be Machine 8 - Turning & Milling; Part_Desc__2 should be Machine 6 - Turning & Milling; Part_Desc__3 should be Machine 7- Laser Marking; Part_Desc__4 should be Machine 6 - Turning & Milling; Part_Desc__5 should be Machine 6 - Turning & Milling; Part_Desc__6 should be Machine 6 - Turning & Milling; Part_Desc__7 should be Machine 7- Laser Marking; Part_Desc__8 should be Machine 7- Laser Marking; Part_Desc__9 should be Machine 7- Laser Marking; Part_Desc__10 should be Machine 7- Laser Marking; Part_Desc__11 should be Machine 7- Laser Marking; Part_Desc__12 should be Machine 7- Laser Marking; Part_Desc__13 should be Machine 8 - Turning & Milling; Part_Desc__14 should be Machine 9 - Turning & Milling; Part_Desc__15 should be Machine 8 - Turning & Milling; Part_Desc__16 should be Machine 6 - Turning & Milling; Part_Desc__17 should be Machine 7- Laser Marking; Part_Desc__18 should be Packing; Part_Desc__19 should be Machine 9 - Turning & Milling; Part_Desc__20 should be Quality Check 1; ,FALSE,TRUE,FALSE,TN,0.0,1.0,12.054794520547942
Case273,3,"Turning & Milling - Machine 9, Turning & Milling - Machine 9, Turning & Milling - Machine 9, Turning & Milling Q.C., Flat Grinding - Machine 11, Laser Marking - Machine 7, Lapping - Machine 1, Round Grinding - Manual, Round Grinding - Machine 12, Round Grinding - Machine 12, Round Grinding - Machine 12, Packing, Final Inspection Q.C., Final Inspection Q.C., Final Inspection Q.C.","Turning & Milling - Machine 9, Turning & Milling - Machine 9, Turning & Milling - Machine 9",prefix_1 should be Turning & Milling - Machine 4; prefix_2 should be Turning & Milling - Machine 10; prefix_3 should be Turning & Milling - Machine 10; prefix_4 should be Turning & Milling - Machine 10; prefix_5 should be Turning & Milling - Machine 10; prefix_6 should be Turn & Mill. & Screw Assem - Machine 10; prefix_7 should be Turn & Mill. & Screw Assem - Machine 10; prefix_8 should be Turning & Milling - Machine 10; prefix_9 should be Turning & Milling - Machine 10; prefix_10 should be Turning & Milling - Machine 4; prefix_11 should be Turning & Milling - Machine 4; prefix_12 should be Turning & Milling - Machine 4; prefix_13 should be Turn & Mill. & Screw Assem - Machine 10; prefix_14 should be Turning & Milling - Machine 4; prefix_15 should be Turning & Milling - Machine 10; prefix_16 should be Round Grinding - Q.C.; prefix_17 should be Turning & Milling - Machine 10; prefix_18 should be Turning & Milling - Machine 10; prefix_19 should be Turning & Milling - Machine 4; prefix_20 should be Turning & Milling - Machine 5; prefix_21 should be Turning & Milling Q.C.; Part_Desc__1 should be Machine 8 - Turning & Milling; Part_Desc__2 should be Machine 6 - Turning & Milling; Part_Desc__3 should be Machine 7- Laser Marking; Part_Desc__4 should be Machine 6 - Turning & Milling; Part_Desc__5 should be Machine 6 - Turning & Milling; Part_Desc__6 should be Machine 6 - Turning & Milling; Part_Desc__7 should be Machine 7- Laser Marking; Part_Desc__8 should be Machine 7- Laser Marking; Part_Desc__9 should be Machine 7- Laser Marking; Part_Desc__10 should be Machine 7- Laser Marking; Part_Desc__11 should be Machine 7- Laser Marking; Part_Desc__12 should be Machine 7- Laser Marking; Part_Desc__13 should be Machine 8 - Turning & Milling; Part_Desc__14 should be Machine 9 - Turning & Milling; Part_Desc__15 should be Machine 8 - Turning & Milling; Part_Desc__16 should be Machine 6 - Turning & Milling; Part_Desc__17 should be Machine 7- Laser Marking; Part_Desc__18 should be Packing; Part_Desc__19 should be Machine 9 - Turning & Milling; Part_Desc__20 should be Quality Check 1; ,TRUE,TRUE,FALSE,FN,0.0,1.0,12.054794520547942
Case25,3,"Turning & Milling - Machine 5, Turning & Milling - Machine 5, Turning & Milling - Machine 5, Turning & Milling - Machine 5, Turning & Milling - Machine 5, Turning & Milling - Machine 5, Turning & Milling Q.C., Laser Marking - Machine 7, Lapping - Machine 1, Lapping - Machine 1, Lapping - Machine 1, Round Grinding - Manual, Round Grinding - Manual, Round Grinding - Manual, Round Grinding - Manual, Round Grinding - Manual, Round Grinding - Manual, Round Grinding - Q.C., Round Grinding - Q.C., Round Grinding - Q.C., Lapping - Machine 1, Round Grinding - Machine 3, Round Grinding - Machine 3","Turning & Milling - Machine 5, Turning & Milling - Machine 5, Turning & Milling - Machine 5",prefix_1 should be Turning & Milling - Machine 4; prefix_2 should be Turning & Milling - Machine 10; prefix_3 should be Turning & Milling - Machine 10; prefix_4 should be Turning & Milling - Machine 10; prefix_5 should be Turning & Milling - Machine 10; prefix_6 should be Turn & Mill. & Screw Assem - Machine 10; prefix_7 should be Turn & Mill. & Screw Assem - Machine 10; prefix_8 should be Turning & Milling - Machine 10; prefix_9 should be Turning & Milling - Machine 10; prefix_10 should be Turning & Milling - Machine 4; prefix_11 should be Turning & Milling - Machine 4; prefix_12 should be Turning & Milling - Machine 4; prefix_13 should be Turn & Mill. & Screw Assem - Machine 10; prefix_14 should be Turning & Milling - Machine 4; prefix_15 should be Turning & Milling - Machine 10; prefix_16 should be Round Grinding - Q.C.; prefix_17 should be Turning & Milling - Machine 10; prefix_18 should be Turning & Milling - Machine 10; prefix_19 should be Turning & Milling - Machine 4; prefix_20 should be Turning & Milling - Machine 5; prefix_21 should be Turning & Milling Q.C.; Part_Desc__1 should be Machine 8 - Turning & Milling; Part_Desc__2 should be Machine 6 - Turning & Milling; Part_Desc__3 should be Machine 7- Laser Marking; Part_Desc__4 should be Machine 6 - Turning & Milling; Part_Desc__5 should be Machine 6 - Turning & Milling; Part_Desc__6 should be Machine 6 - Turning & Milling; Part_Desc__7 should be Machine 7- Laser Marking; Part_Desc__8 should be Machine 7- Laser Marking; Part_Desc__9 should be Machine 7- Laser Marking; Part_Desc__10 should be Machine 7- Laser Marking; Part_Desc__11 should be Machine 7- Laser Marking; Part_Desc__12 should be Machine 7- Laser Marking; Part_Desc__13 should be Machine 8 - Turning & Milling; Part_Desc__14 should be Machine 9 - Turning & Milling; Part_Desc__15 should be Machine 8 - Turning & Milling; Part_Desc__16 should be Machine 6 - Turning & Milling; Part_Desc__17 should be Machine 7- Laser Marking; Part_Desc__18 should be Packing; Part_Desc__19 should be Machine 9 - Turning & Milling; Part_Desc__20 should be Quality Check 1; ,FALSE,TRUE,FALSE,TN,0.0,1.0,12.054794520547942
Case12,3,"Turning - Machine 9, Turning - Machine 9, Turning Q.C., Turning - Machine 9, Turning - Machine 9, Turning - Machine 9, Turning - Machine 9, Turning - Machine 9, Turning - Machine 9, Turning - Machine 9, Turning Q.C., Turning & Milling - Machine 9, Lapping - Machine 1, Flat Grinding - Machine 11, Flat Grinding - Machine 11, Laser Marking - Machine 7, Flat Grinding - Machine 11, Flat Grinding - Machine 11, Flat Grinding - Machine 11, Flat Grinding - Machine 11, Final Inspection Q.C., Laser Marking - Machine 7, Final Inspection Q.C., Final Inspection Q.C., Final Inspection Q.C., Packing","Turning - Machine 9, Turning - Machine 9, Turning Q.C.",prefix_1 should be Turning & Milling - Machine 4; prefix_2 should be Turning & Milling - Machine 10; prefix_3 should be Turning & Milling - Machine 10; prefix_4 should be Turning & Milling - Machine 10; prefix_5 should be Turning & Milling - Machine 10; prefix_6 should be Turn & Mill. & Screw Assem - Machine 10; prefix_7 should be Turn & Mill. & Screw Assem - Machine 10; prefix_8 should be Turning & Milling - Machine 10; prefix_9 should be Turning & Milling - Machine 10; prefix_10 should be Turning & Milling - Machine 4; prefix_11 should be Turning & Milling - Machine 4; prefix_12 should be Turning & Milling - Machine 4; prefix_13 should be Turn & Mill. & Screw Assem - Machine 10; prefix_14 should be Turning & Milling - Machine 4; prefix_15 should be Turning & Milling - Machine 10; prefix_16 should be Round Grinding - Q.C.; prefix_17 should be Turning & Milling - Machine 10; prefix_18 should be Turning & Milling - Machine 10; prefix_19 should be Turning & Milling - Machine 4; prefix_20 should be Turning & Milling - Machine 5; prefix_21 should be Turning & Milling Q.C.; Part_Desc__1 should be Machine 8 - Turning & Milling; Part_Desc__2 should be Machine 6 - Turning & Milling; Part_Desc__3 should be Machine 7- Laser Marking; Part_Desc__4 should be Machine 6 - Turning & Milling; Part_Desc__5 should be Machine 6 - Turning & Milling; Part_Desc__6 should be Machine 6 - Turning & Milling; Part_Desc__7 should be Machine 7- Laser Marking; Part_Desc__8 should be Machine 7- Laser Marking; Part_Desc__9 should be Machine 7- Laser Marking; Part_Desc__10 should be Machine 7- Laser Marking; Part_Desc__11 should be Machine 7- Laser Marking; Part_Desc__12 should be Machine 7- Laser Marking; Part_Desc__13 should be Machine 8 - Turning & Milling; Part_Desc__14 should be Machine 9 - Turning & Milling; Part_Desc__15 should be Machine 8 - Turning & Milling; Part_Desc__16 should be Machine 6 - Turning & Milling; Part_Desc__17 should be Machine 7- Laser Marking; Part_Desc__18 should be Packing; Part_Desc__19 should be Machine 9 - Turning & Milling; Part_Desc__20 should be Quality Check 1; ,TRUE,TRUE,FALSE,FN,0.0,1.0,12.054794520547942
Case34,3,"Turning & Milling - Machine 10, Turning & Milling - Machine 10, Turning & Milling - Machine 10, Turning & Milling - Machine 10, Turning & Milling - Machine 10, Turning & Milling Q.C., Laser Marking - Machine 7, Lapping - Machine 1, Round Grinding - Machine 12, Lapping - Machine 1, Round Grinding - Machine 12, Round Grinding - Machine 12, Round Grinding - Machine 12, Final Inspection Q.C., Packing, Final Inspection Q.C., Round Grinding - Machine 12, Round Grinding - Machine 2, Round Grinding - Machine 12, Final Inspection Q.C., Packing","Turning & Milling - Machine 10, Turning & Milling - Machine 10, Turning & Milling - Machine 10",prefix_1 should be Turning & Milling - Machine 4; prefix_2 should be Turning & Milling - Machine 10; prefix_3 should be Turning & Milling - Machine 10; prefix_4 should be Turning & Milling - Machine 10; prefix_5 should be Turning & Milling - Machine 10; prefix_6 should be Turn & Mill. & Screw Assem - Machine 10; prefix_7 should be Turn & Mill. & Screw Assem - Machine 10; prefix_8 should be Turning & Milling - Machine 10; prefix_9 should be Turning & Milling - Machine 10; prefix_10 should be Turning & Milling - Machine 4; prefix_11 should be Turning & Milling - Machine 4; prefix_12 should be Turning & Milling - Machine 4; prefix_13 should be Turn & Mill. & Screw Assem - Machine 10; prefix_14 should be Turning & Milling - Machine 4; prefix_15 should be Turning & Milling - Machine 10; prefix_16 should be Round Grinding - Q.C.; prefix_17 should be Turning & Milling - Machine 10; prefix_18 should be Turning & Milling - Machine 10; prefix_19 should be Turning & Milling - Machine 4; prefix_20 should be Turning & Milling - Machine 5; prefix_21 should be Turning & Milling Q.C.; Part_Desc__1 should be Machine 8 - Turning & Milling; Part_Desc__2 should be Machine 6 - Turning & Milling; Part_Desc__3 should be Machine 7- Laser Marking; Part_Desc__4 should be Machine 6 - Turning & Milling; Part_Desc__5 should be Machine 6 - Turning & Milling; Part_Desc__6 should be Machine 6 - Turning & Milling; Part_Desc__7 should be Machine 7- Laser Marking; Part_Desc__8 should be Machine 7- Laser Marking; Part_Desc__9 should be Machine 7- Laser Marking; Part_Desc__10 should be Machine 7- Laser Marking; Part_Desc__11 should be Machine 7- Laser Marking; Part_Desc__12 should be Machine 7- Laser Marking; Part_Desc__13 should be Machine 8 - Turning & Milling; Part_Desc__14 should be Machine 9 - Turning & Milling; Part_Desc__15 should be Machine 8 - Turning & Milling; Part_Desc__16 should be Machine 6 - Turning & Milling; Part_Desc__17 should be Machine 7- Laser Marking; Part_Desc__18 should be Packing; Part_Desc__19 should be Machine 9 - Turning & Milling; Part_Desc__20 should be Quality Check 1; ,TRUE,TRUE,FALSE,FN,0.0,1.0,12.054794520547942
Case40,3,"Turning - Machine 9, Turning - Machine 9, Turning - Machine 9, Turning - Machine 9, Turning - Machine 9, Turning - Machine 9, Turning Q.C., Flat Grinding - Machine 11, Laser Marking - Machine 7, Packing, Final Inspection Q.C.","Turning - Machine 9, Turning - Machine 9, Turning - Machine 9",prefix_1 should be Turning & Milling - Machine 4; prefix_2 should be Turning & Milling - Machine 10; prefix_3 should be Turning & Milling - Machine 10; prefix_4 should be Turning & Milling - Machine 10; prefix_5 should be Turning & Milling - Machine 10; prefix_6 should be Turn & Mill. & Screw Assem - Machine 10; prefix_7 should be Turn & Mill. & Screw Assem - Machine 10; prefix_8 should be Turning & Milling - Machine 10; prefix_9 should be Turning & Milling - Machine 10; prefix_10 should be Turning & Milling - Machine 4; prefix_11 should be Turning & Milling - Machine 4; prefix_12 should be Turning & Milling - Machine 4; prefix_13 should be Turn & Mill. & Screw Assem - Machine 10; prefix_14 should be Turning & Milling - Machine 4; prefix_15 should be Turning & Milling - Machine 10; prefix_16 should be Round Grinding - Q.C.; prefix_17 should be Turning & Milling - Machine 10; prefix_18 should be Turning & Milling - Machine 10; prefix_19 should be Turning & Milling - Machine 4; prefix_20 should be Turning & Milling - Machine 5; prefix_21 should be Turning & Milling Q.C.; Part_Desc__1 should be Machine 8 - Turning & Milling; Part_Desc__2 should be Machine 6 - Turning & Milling; Part_Desc__3 should be Machine 7- Laser Marking; Part_Desc__4 should be Machine 6 - Turning & Milling; Part_Desc__5 should be Machine 6 - Turning & Milling; Part_Desc__6 should be Machine 6 - Turning & Milling; Part_Desc__7 should be Machine 7- Laser Marking; Part_Desc__8 should be Machine 7- Laser Marking; Part_Desc__9 should be Machine 7- Laser Marking; Part_Desc__10 should be Machine 7- Laser Marking; Part_Desc__11 should be Machine 7- Laser Marking; Part_Desc__12 should be Machine 7- Laser Marking; Part_Desc__13 should be Machine 8 - Turning & Milling; Part_Desc__14 should be Machine 9 - Turning & Milling; Part_Desc__15 should be Machine 8 - Turning & Milling; Part_Desc__16 should be Machine 6 - Turning & Milling; Part_Desc__17 should be Machine 7- Laser Marking; Part_Desc__18 should be Packing; Part_Desc__19 should be Machine 9 - Turning & Milling; Part_Desc__20 should be Quality Check 1; ,TRUE,TRUE,FALSE,FN,0.0,1.0,12.054794520547942
